Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	18/158	2.237727e-17	3.334213e-15	0	0	2.186379e+01	8.382247e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CHD8;CTNNBIP1;CSNK2A2;NLK;CCND2;APC;CCND1;MYC;RUVBL1;DVL1;CTNNB1;TP53;PPARD
KEGG_2019_Human	Pathways in cancer	25/530	1.322962e-14	8.636587e-13	0	0	8.793260e+00	2.810002e+02	CTBP2;CTBP1;CUL2;EGFR;CCND2;CCND1;MYC;DVL1;TCF7L2;CREBBP;MAP2K1;JUP;STAT3;TRAF1;MLH1;PML;MSH6;AR;MSH2;APC;MSH3;CTNNB1;RAF1;TP53;PPARD
KEGG_2019_Human	Colorectal cancer	13/86	1.738910e-14	8.636587e-13	0	0	2.913042e+01	9.229371e+02	TCF7L2;MAP2K1;MLH1;EGFR;MSH6;CCND1;MSH2;APC;MSH3;MYC;CTNNB1;RAF1;TP53
KEGG_2019_Human	Cell cycle	13/124	2.212083e-12	8.240011e-11	0	0	1.912106e+01	5.131536e+02	CREBBP;PCNA;PRKDC;CDC14B;CDC20;CCND2;CCND1;MYC;RAD21;CHEK1;ATM;TP53;ATR
KEGG_2019_Human	Endometrial cancer	10/58	5.149710e-12	1.534614e-10	0	0	3.329637e+01	8.654420e+02	TCF7L2;MAP2K1;CCND1;APC;MYC;CTNNB1;RAF1;MLH1;TP53;EGFR
KEGG_2019_Human	Gastric cancer	12/149	3.613051e-10	8.063062e-09	0	0	1.416465e+01	3.079579e+02	TCF7L2;MAP2K1;APC;CCND1;JUP;MYC;DVL1;CTNNB1;RAF1;MLH1;TP53;EGFR
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	3.788016e-10	8.063062e-09	0	0	1.222992e+01	2.653161e+02	JUP;FUS;H3F3A;TRAF1;PML;CCND2;PAX7;MYC;FEV;ATM;ERG;TP53;MEN1
KEGG_2019_Human	Acute myeloid leukemia	9/66	5.557139e-10	1.035017e-08	0	0	2.502189e+01	5.332358e+02	TCF7L2;MAP2K1;CCND1;JUP;MYC;STAT3;RAF1;PML;PPARD
KEGG_2019_Human	Prostate cancer	10/97	9.956980e-10	1.648433e-08	0	0	1.833426e+01	3.800248e+02	AR;TCF7L2;MAP2K1;CREBBP;CCND1;CTNNB1;ERG;RAF1;TP53;EGFR
KEGG_2019_Human	Mismatch repair	6/23	7.428469e-09	1.106842e-07	0	0	5.473070e+01	1.024446e+03	MSH6;PCNA;MSH2;MSH3;RPA1;MLH1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	2.865650e-08	3.881653e-07	0	0	9.341411e+00	1.622406e+02	CDC20;CREBBP;MAP2K1;CCND2;CCND1;MSX2;MYC;SRF;CHEK1;ATM;TP53;ATR
