Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	32/530	7.537425e-21	1.447186e-18	0	0	1.120677e+01	5.192592e+02	NOTCH1;EPO;HDAC1;CBL;DLL1;HIF1A;RELA;CDC42;RASSF1;MAPK8;CASP8;CDH1;MYC;ABL1;MAPK1;RAC1;PDGFRB;NTRK1;MAP2K1;HSP90AA1;PTCH1;MLH1;RHOA;TGFBR2;MSH6;RAD51;APC;TRAF6;MDM2;TP53;IFNAR1;NFE2L2
KEGG_2019_Human	Hepatitis B	16/163	4.500128e-14	4.320123e-12	0	0	1.689217e+01	5.191317e+02	ATF2;MAP2K1;PCNA;MAPK14;TNF;YWHAZ;RELA;TGFBR2;MAPK8;CREB1;CASP8;MYC;TRAF6;MAPK1;TP53;IFNAR1
KEGG_2019_Human	Cell cycle	14/124	2.655593e-13	1.699579e-11	0	0	1.948259e+01	5.641563e+02	PCNA;HDAC1;SMC3;SMC1A;YWHAZ;CHEK2;MYC;RAD21;CHEK1;ABL1;MDM2;ATM;TP53;MCM2
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	2.998915e-12	1.439479e-10	0	0	1.863302e+01	4.943856e+02	NTRK1;MAP2K1;NTRK3;MAPK14;RHOA;RELA;CDC42;MAPK8;TRAF6;ABL1;MAPK1;RAC1;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	9.112628e-12	3.499249e-10	0	0	8.929177e+00	2.269918e+02	PDGFRB;NTRK1;ATF2;MAP2K1;HSP90AA1;EPO;BRCA1;YWHAZ;RELA;PPP2CA;NR4A1;CREB1;PPP2R1A;MYC;MDM2;MAPK1;RAC1;TP53;IFNAR1
KEGG_2019_Human	Human papillomavirus infection	18/330	2.561864e-11	7.179668e-10	0	0	9.020769e+00	2.199958e+02	PDGFRB;MAP2K1;NOTCH1;HDAC1;MX1;TNF;RELA;PPP2CA;CDC42;CREB1;CASP8;APC;PPP2R1A;MDM2;MAPK1;ATM;TP53;IFNAR1
KEGG_2019_Human	Colorectal cancer	11/86	2.617587e-11	7.179668e-10	0	0	2.198000e+01	5.355687e+02	MSH6;MAP2K1;MAPK8;APC;MYC;MAPK1;RAC1;MLH1;TP53;RHOA;TGFBR2
KEGG_2019_Human	MAPK signaling pathway	17/295	4.018561e-11	9.644546e-10	0	0	9.502198e+00	2.274590e+02	PDGFRB;NTRK1;ATF2;DAXX;MAP2K1;MAPK14;TNF;RELA;TGFBR2;CDC42;NR4A1;MAPK8;MYC;TRAF6;MAPK1;RAC1;TP53
KEGG_2019_Human	Hepatitis C	13/155	8.807268e-11	1.878884e-09	0	0	1.388380e+01	3.214497e+02	MAP2K1;MX1;TNF;YWHAZ;RELA;PPP2CA;CASP8;PPP2R1A;MYC;TRAF6;MAPK1;TP53;IFNAR1
KEGG_2019_Human	Cellular senescence	13/160	1.312581e-10	2.520156e-09	0	0	1.340816e+01	3.050874e+02	MAP2K1;MAPK14;RELA;ZFP36L2;PPP1CA;TGFBR2;CHEK2;MYC;CHEK1;MDM2;MAPK1;ATM;TP53
KEGG_2019_Human	Chronic myeloid leukemia	10/76	1.622032e-10	2.831183e-09	0	0	2.254614e+01	5.082389e+02	MAP2K1;HDAC1;MYC;ABL1;MDM2;MAPK1;CBL;TP53;RELA;TGFBR2
KEGG_2019_Human	Proteoglycans in cancer	14/201	1.941971e-10	3.107153e-09	0	0	1.141566e+01	2.552787e+02	MAP2K1;PTCH1;MAPK14;CBL;TNF;HIF1A;RHOA;PPP1CA;CDC42;MYC;MDM2;MAPK1;RAC1;TP53
KEGG_2019_Human	Homologous recombination	8/41	4.389126e-10	6.114996e-09	0	0	3.559865e+01	7.670342e+02	TOP3B;BLM;RAD51;RBBP8;RPA1;RPA2;ATM;BRCA1
KEGG_2019_Human	MicroRNAs in cancer	16/299	4.632552e-10	6.114996e-09	0	0	8.713837e+00	1.872842e+02	PDGFRB;MAP2K1;ST14;NOTCH1;HDAC1;BRCA1;BMI1;RHOA;RASSF1;APC;MYC;MDM2;ABL1;MAPK1;ATM;TP53
KEGG_2019_Human	Apoptosis	12/143	4.777341e-10	6.114996e-09	0	0	1.379360e+01	2.960378e+02	NTRK1;DAXX;MAP2K1;MAPK8;CASP8;PARP1;PARP2;MAPK1;ATM;TNF;TP53;RELA
KEGG_2019_Human	Sphingolipid signaling pathway	11/119	9.232670e-10	1.107920e-08	0	0	1.523843e+01	3.170065e+02	PPP2CA;MAP2K1;MAPK8;PPP2R1A;MAPK1;RAC1;MAPK14;TNF;TP53;RHOA;RELA
KEGG_2019_Human	Osteoclast differentiation	11/127	1.855552e-09	2.095682e-08	0	0	1.418175e+01	2.851253e+02	MAP2K1;MAPK8;CREB1;TRAF6;MAPK1;RAC1;MAPK14;TNF;RELA;IFNAR1;TGFBR2
