Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	25/530	8.761499e-16	1.533262e-13	0	0	1.009640e+01	3.500524e+02	HDAC2;NOTCH1;HDAC1;BRCA2;CBL;HIF1A;RELA;MAPK8;CASP8;CDH1;MYC;EP300;MAPK1;TCF7L2;MAP2K1;CHUK;PTCH1;PML;MSH6;MSH2;APC;TRAF6;MDM2;TP53;NFE2L2
KEGG_2019_Human	Human papillomavirus infection	18/330	1.226614e-12	1.073287e-10	0	0	1.106787e+01	3.035559e+02	TCF7L2;MAP2K1;HDAC2;NOTCH1;CHUK;HDAC1;RELA;PPP2CA;CREB1;CASP8;APC;RHEB;MDM2;EP300;MAPK1;ATM;TP53;ATR
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	5.054403e-12	2.948402e-10	0	0	2.112821e+01	5.495607e+02	MED1;MAP2K1;HDAC2;NOTCH1;RHEB;HDAC1;MYC;MDM2;EP300;MAPK1;TP53;HIF1A
KEGG_2019_Human	Cell cycle	12/124	1.124301e-11	4.918817e-10	0	0	1.961111e+01	4.944211e+02	HDAC2;PRKDC;HDAC1;MYC;CHEK1;MDM2;EP300;ATM;TP53;YWHAZ;ATR;MCM2
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.825233e-11	9.888317e-10	0	0	2.729201e+01	6.629187e+02	MAP2K1;HDAC2;CHUK;HDAC1;MYC;MDM2;MAPK1;CBL;TP53;RELA
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	3.677215e-11	1.072521e-09	0	0	1.756000e+01	4.219015e+02	PRKN;SOCS1;FBXW7;TRAF6;HUWE1;UBE2N;MDM2;UBE2D1;TRIM37;BRCA1;CBL;PML
KEGG_2019_Human	Cellular senescence	12/160	2.269954e-10	5.674886e-09	0	0	1.481381e+01	3.289569e+02	MAP2K1;MRE11;RHEB;MYC;CHEK1;MDM2;MAPK1;ATM;TP53;RELA;PPP1CA;ATR
KEGG_2019_Human	Hepatitis B	12/163	2.816852e-10	6.161865e-09	0	0	1.451729e+01	3.192386e+02	MAP2K1;MAPK8;CREB1;CASP8;CHUK;MYC;TRAF6;EP300;MAPK1;TP53;YWHAZ;RELA
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.289353e-09	2.507075e-08	0	0	1.258365e+01	2.575764e+02	MAP2K1;MAPK8;CREB1;CASP8;UBB;CHUK;MYC;EP300;MAPK1;TP53;HIF1A;RELA
KEGG_2019_Human	Colorectal cancer	9/86	2.321212e-09	4.062121e-08	0	0	2.085258e+01	4.145738e+02	MSH6;TCF7L2;MAP2K1;MAPK8;MSH2;APC;MYC;MAPK1;TP53
KEGG_2019_Human	MicroRNAs in cancer	14/299	3.327346e-09	5.293505e-08	0	0	9.080768e+00	1.772665e+02	MAP2K1;NOTCH1;HDAC1;BRCA1;BMI1;SOCS1;APC;MYC;MDM2;EP300;MAPK1;MDM4;ATM;TP53
KEGG_2019_Human	Homologous recombination	7/41	4.453440e-09	6.494601e-08	0	0	3.615877e+01	6.953183e+02	TOP3B;BLM;MRE11;ATM;BRCA1;TOPBP1;BRCA2
KEGG_2019_Human	Prostate cancer	9/97	6.827449e-09	9.190797e-08	0	0	1.823587e+01	3.428766e+02	TCF7L2;MAP2K1;CREB1;CHUK;MDM2;EP300;MAPK1;TP53;RELA
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	8.200691e-09	1.025086e-07	0	0	1.055985e+01	1.966143e+02	MAP2K1;MAPK8;CREB1;CHUK;MYC;CHEK1;EP300;MAPK1;ATM;TP53;RELA;ATR
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	1.610944e-08	1.879435e-07	0	0	1.136330e+01	2.039015e+02	CDK9;HDAC2;HIST1H3A;HDAC1;MYC;MDM2;ATM;BMI1;TP53;PML;RELA
