Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	21/201	1.172212e-18	2.180314e-16	0	0	1.866287e+01	7.705460e+02	RB1;HDAC5;USP7;JUN;YWHAB;SRC;EIF2AK2;YWHAZ;HDAC9;RELA;KAT2B;HNRNPK;CREB1;CASP8;PKM;CHEK1;CDK2;CDK1;EP300;MAPK1;TP53
KEGG_2019_Human	Hepatitis B	17/163	2.811490e-15	2.460479e-13	0	0	1.807087e+01	6.054655e+02	RB1;JUN;CHUK;YWHAB;SRC;YWHAZ;RELA;MAPK8;CREB1;CASP8;MYC;TRAF6;CDK2;AKT1;EP300;MAPK1;TP53
KEGG_2019_Human	p53 signaling pathway	13/72	3.968515e-15	2.460479e-13	0	0	3.329810e+01	1.104178e+03	IGFBP3;PTEN;PPM1D;CASP8;CHEK1;CDK2;CDK1;ATM;MDM4;TP53;ATR;TP73;BCL2L1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	2.747571e-14	1.277621e-12	0	0	1.396944e+01	4.362023e+02	RB1;JUN;CHUK;PTEN;RELA;KAT2B;MAPK8;CREB1;MYC;CHEK1;CDK2;AKT1;EP300;MAPK1;ATM;TP53;BCL2L1;ATR
KEGG_2019_Human	Hepatitis C	15/155	3.974169e-13	1.234142e-11	0	0	1.637542e+01	4.675802e+02	RB1;CHUK;YWHAB;EIF2AK2;YWHAZ;RELA;PIAS1;PPP2CA;CASP8;MYC;TRAF6;CDK2;AKT1;MAPK1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	3.981102e-13	1.234142e-11	0	0	1.447500e+01	4.132909e+02	RB1;BECN1;JUN;CHUK;SRC;EIF2AK2;HIF1A;RELA;MAPK8;CREB1;CASP8;MYC;AKT1;EP300;MAPK1;TP53
KEGG_2019_Human	Mitophagy	11/65	1.174908e-12	3.025715e-11	0	0	3.032888e+01	8.331291e+02	PRKN;BECN1;MAPK8;JUN;CSNK2A1;SRC;CSNK2B;TP53;HIF1A;RELA;BCL2L1
KEGG_2019_Human	Measles	14/138	1.301383e-12	3.025715e-11	0	0	1.713697e+01	4.689977e+02	JUN;CSNK2A1;CHUK;EIF2AK2;RELA;MAPK8;CASP8;TRAF6;CSNK2B;CDK2;AKT1;TP53;TP73;BCL2L1
KEGG_2019_Human	Pathways in cancer	23/530	4.564241e-12	9.432764e-11	0	0	7.254259e+00	1.894288e+02	RB1;JUN;HSP90AB1;CHUK;PTEN;BRCA2;HIF1A;RELA;MSH6;BCR;MAPK8;CASP8;MSH2;MYC;TRAF6;CDK2;AKT1;EP300;MAPK1;PPARG;VHL;TP53;BCL2L1
KEGG_2019_Human	Cell cycle	13/124	5.589075e-12	1.039568e-10	0	0	1.765250e+01	4.573799e+02	RB1;PRKDC;YWHAB;YWHAZ;FZR1;MYC;CHEK1;CDK2;CDK1;EP300;ATM;TP53;ATR
