Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	p53 signaling pathway	10/72	6.096575e-11	9.815485e-09	0	0	2.514732e+01	5.914828e+02	COP1;CASP8;CDKN2A;CDK4;PTEN;TNFRSF10B;ATM;TP53;ATR;TP73
KEGG_2019_Human	Cell cycle	11/124	9.087275e-10	6.964138e-08	0	0	1.525846e+01	3.176656e+02	CREBBP;PRKDC;CDK4;YWHAB;CDKN2A;EP300;ATM;TP53;YWHAZ;YWHAG;ATR
KEGG_2019_Human	Viral carcinogenesis	13/201	1.297665e-09	6.964138e-08	0	0	1.097182e+01	2.245130e+02	CREBBP;JUN;YWHAB;CDKN2A;UBE3A;CHD4;YWHAZ;HNRNPK;CASP8;CDK4;EP300;TP53;YWHAG
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	3.578825e-08	1.440477e-06	0	0	1.223634e+01	2.098000e+02	PIAS4;COP1;UBE2I;FBXW11;UBR5;HUWE1;WWP1;UBE3A;PIAS1;CUL4B
KEGG_2019_Human	IL-17 signaling pathway	8/93	2.463223e-07	7.931578e-06	0	0	1.442991e+01	2.195746e+02	MAPK8;JUN;HSP90AB1;CASP8;SRSF1;ELAVL1;S100A8;HSP90B1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	3.341976e-07	8.967634e-06	0	0	8.249580e+00	1.230139e+02	CREBBP;JUN;MAPK8;CDK4;CDKN2A;PTEN;GPS2;EP300;ATM;TP53;ATR
KEGG_2019_Human	Hepatitis C	9/155	1.229822e-06	2.828590e-05	0	0	9.495559e+00	1.292217e+02	PPP2CA;CASP8;CDK4;YWHAB;PSME3;TP53;YWHAZ;YWHAG;PIAS1
KEGG_2019_Human	Cellular senescence	9/160	1.602110e-06	3.224246e-05	0	0	9.178808e+00	1.224838e+02	PPP1CC;MRE11;FBXW11;CDK4;CDKN2A;PTEN;ATM;TP53;ATR
KEGG_2019_Human	Pathways in cancer	15/530	3.650387e-06	6.530137e-05	0	0	4.619131e+00	5.783465e+01	CEBPA;CREBBP;JUN;HSP90AB1;CDKN2A;ZBTB16;PTEN;HSP90B1;IGF1R;MAPK8;CASP8;MECOM;CDK4;EP300;TP53
KEGG_2019_Human	Prostate cancer	7/97	4.665099e-06	7.018047e-05	0	0	1.183000e+01	1.452180e+02	CREBBP;HSP90AB1;PTEN;EP300;TP53;IGF1R;HSP90B1
