Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	14/137	2.779067e-15	4.675838e-13	0	0	2.814654e+01	9.433782e+02	UBE2I;FBXW7;HUWE1;BRCA1;CBL;UBE2L3;CUL4A;FZR1;NEDD4;CDC27;TRIM37;SKP2;TRIM32;CUL4B
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	5.313453e-15	4.675838e-13	0	0	1.990956e+01	6.543981e+02	EGR1;CDKN1A;CHUK;TRRAP;CDKN2A;PTEN;PIK3R1;PPP3CA;DLG1;KAT5;CCNE1;CDC27;E2F1;AKT1;E2F2;CALR
KEGG_2019_Human	Pathways in cancer	21/530	4.126338e-14	2.420785e-12	0	0	1.096259e+01	3.378539e+02	NTRK1;CDKN1A;HDAC2;CHUK;CDKN2A;MAX;HDAC1;NCOA3;PTEN;PIK3R1;CBL;AR;SP1;CCNE1;CASP3;E2F1;DVL2;AKT1;E2F2;CTNNB1;SKP2
KEGG_2019_Human	Epstein-Barr virus infection	14/201	5.853021e-13	1.967482e-11	0	0	1.845361e+01	5.197763e+02	USP7;CDKN1A;HDAC2;CHUK;HDAC1;PIK3R1;CCNE1;CASP3;NEDD4;E2F1;AKT1;E2F2;CALR;SKP2
KEGG_2019_Human	Small cell lung cancer	11/93	6.013443e-13	1.967482e-11	0	0	3.203996e+01	9.015921e+02	CDKN1A;CHUK;CCNE1;MAX;CASP3;PTEN;E2F1;AKT1;E2F2;PIK3R1;SKP2
KEGG_2019_Human	MicroRNAs in cancer	16/299	6.707326e-13	1.967482e-11	0	0	1.422343e+01	3.986885e+02	DNMT1;CDKN1A;UBE2I;GLS2;CDKN2A;HDAC1;DNMT3A;PTEN;BRCA1;BMI1;ERBB3;CCNE1;CASP3;E2F1;FSCN1;E2F2
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.379868e-12	5.983669e-11	0	0	3.578644e+01	9.577873e+02	CDKN1A;HDAC2;CHUK;HDAC1;CDKN2A;E2F1;AKT1;E2F2;PIK3R1;CBL
KEGG_2019_Human	Human cytomegalovirus infection	14/225	2.728181e-12	6.001998e-11	0	0	1.633472e+01	4.349508e+02	CDKN1A;CHUK;CDKN2A;PXN;PIK3R1;PPP3CA;SP1;CASP3;E2F1;AKT1;E2F2;CTNNB1;CALR;BCAR1
KEGG_2019_Human	Breast cancer	12/147	4.494431e-12	8.789110e-11	0	0	2.143198e+01	5.599786e+02	CDKN1A;CSNK1A1;SP1;NCOA3;E2F1;DVL2;PTEN;AKT1;E2F2;CTNNB1;BRCA1;PIK3R1
KEGG_2019_Human	Prostate cancer	10/97	2.893399e-11	5.092383e-10	0	0	2.711959e+01	6.580842e+02	AR;CDKN1A;CHUK;CCNE1;E2F1;PTEN;AKT1;E2F2;CTNNB1;PIK3R1
