Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Chronic myeloid leukemia	19/76	1.668809e-26	3.354307e-24	0	0	6.884722e+01	4.086434e+03	MAP2K1;HDAC1;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;CDK6;PIK3CA;MYC;AKT3;AKT1;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	28/354	3.402807e-24	2.855142e-22	0	0	1.930936e+01	1.043428e+03	IRS1;PIK3R3;PIK3R2;PIK3R1;BRCA1;RELA;ERBB3;MYC;AKT3;AKT1;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NGFR;MAP2K1;PDPK1;NFKB1;PTK2;CDK6;PIK3CA;CDC37;GNB1;GNB3;GRB2;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	4.261407e-24	2.855142e-22	0	0	4.207549e+01	2.264185e+03	NGFR;MAP2K1;IRS1;PDPK1;PRKCD;GAB1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;AKT1;GRB2;CALM1;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	23/225	1.759004e-22	8.838995e-21	0	0	2.436015e+01	1.220252e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;CDK6;PIK3CA;MYC;GNAQ;AKT3;GNB1;AKT1;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	Proteoglycans in cancer	22/201	3.453164e-22	1.388172e-20	0	0	2.604265e+01	1.286965e+03	MAP2K1;DDX5;PDPK1;CAV1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;ESR1;ACTB;PTK2;PIK3CA;ERBB3;MYC;AKT3;AKT1;GRB2;ARHGEF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	30/530	1.070225e-21	3.585255e-20	0	0	1.368353e+01	6.607286e+02	NOTCH1;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;MYC;AKT3;AKT1;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;MAP2K1;ESR1;NFKB1;PTK2;CDK6;PIK3CA;GNAQ;GNB1;GNB3;GRB2;ARHGEF1;CALM1;TP53;CRK
KEGG_2019_Human	Cellular senescence	20/160	2.073220e-21	5.953103e-20	0	0	2.969173e+01	1.414074e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;CDK6;PIK3CA;MYC;AKT3;CAPN2;AKT1;ATM;CAPN1;CALM1;SQSTM1;TP53;HRAS;ATR;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	21/190	2.679185e-21	6.731452e-20	0	0	2.606295e+01	1.234570e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;ARRB2;RELA;NFKB1;PTK2;FGR;HCK;PIK3CA;AKT3;GNB1;AKT1;GNB3;GRB2;CRK;HRAS;JAK3;MAPK3
KEGG_2019_Human	ErbB signaling pathway	16/85	2.738567e-20	6.116134e-19	0	0	4.641429e+01	2.090698e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;PIK3CA;ERBB3;MYC;AKT3;AKT1;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Endometrial cancer	14/58	1.565858e-19	3.147375e-18	0	0	6.250540e+01	2.706527e+03	MAP2K1;PDPK1;ILK;PIK3R3;PIK3R2;PIK3R1;PIK3CA;MYC;AKT3;AKT1;GRB2;HRAS;TP53;MAPK3
