Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	28/530	1.643334e-18	3.078302e-16	0	0	1.125647e+01	4.609504e+02	FH;CDKN1B;HSP90AB1;MAX;FLT3;KEAP1;EGFR;ERBB2;PIM1;AKT1;FADD;RAC1;PRKACA;SMAD3;PRKCB;CDKN2A;STAT1;DAPK1;STAT3;PRKCA;TRAF2;TRAF3;CCNE1;TRAF6;IL3RA;BIRC2;FGFR1;BIRC3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	20/212	2.959906e-18	3.078302e-16	0	0	1.971554e+01	7.957465e+02	CUL5;PRKCB;PRKCA;TRAF2;NFATC1;CDC25C;SAMHD1;TNFRSF1A;BST2;PAK1;TBK1;IRAK1;TRAF6;AKT1;PTK2B;FADD;RAC1;BTRC;MYD88;TLR2
KEGG_2019_Human	NOD-like receptor signaling pathway	18/178	4.646134e-17	3.221320e-15	0	0	2.092500e+01	7.869455e+02	GABARAPL2;GABARAPL1;HSP90AB1;RIPK2;STAT1;TRAF2;NOD2;TXN;GABARAP;MAVS;TBK1;TRAF3;TRAF6;FADD;MYD88;BIRC2;BIRC3;ATG5
KEGG_2019_Human	Hepatitis B	17/163	2.152997e-16	1.119558e-14	0	0	2.147036e+01	7.745326e+02	SMAD3;PRKCB;STAT1;STAT3;PRKCA;NFATC1;MAVS;TBK1;IRAK1;TRAF3;CCNE1;TRAF6;AKT1;PTK2B;FADD;MYD88;TLR2
KEGG_2019_Human	Epstein-Barr virus infection	18/201	4.092952e-16	1.702668e-14	0	0	1.827374e+01	6.474769e+02	CD40;CDKN1B;SYK;STAT1;STAT3;ISG15;TRAF2;MAVS;TBK1;IRAK1;TRAF3;CCNE1;TRAF6;AKT1;FADD;RAC1;MYD88;TLR2
KEGG_2019_Human	NF-kappa B signaling pathway	13/95	2.389161e-14	8.282424e-13	0	0	2.827093e+01	8.867247e+02	CD40;UBE2I;SYK;PRKCB;TRAF2;TNFRSF1A;IRAK1;TRAF3;TRAF6;PRKCQ;BIRC2;MYD88;BIRC3
KEGG_2019_Human	Measles	14/138	1.615358e-13	4.799922e-12	0	0	2.027331e+01	5.971312e+02	CDKN1B;STAT1;STAT3;MAVS;TBK1;IRAK1;TRAF3;CCNE1;TRAF6;RACK1;AKT1;FADD;MYD88;TLR2
KEGG_2019_Human	Hepatitis C	14/155	8.127870e-13	2.113246e-11	0	0	1.781367e+01	4.959024e+02	CD81;STAT1;STAT3;TRAF2;EGFR;PIAS1;TNFRSF1A;MAVS;TBK1;TRAF3;TRAF6;PSME3;AKT1;FADD
KEGG_2019_Human	Toll-like receptor signaling pathway	12/104	2.003020e-12	4.629201e-11	0	0	2.304037e+01	6.206239e+02	CD40;TBK1;IRAK1;TRAF3;STAT1;TRAF6;AKT1;IRF5;FADD;RAC1;MYD88;TLR2
KEGG_2019_Human	MAPK signaling pathway	17/295	3.904797e-12	8.121977e-11	0	0	1.120036e+01	2.942203e+02	PRKCB;MAX;FLT3;PRKCA;TRAF2;NFATC1;EGFR;TNFRSF1A;PAK1;IRAK1;TRAF6;ERBB2;AKT1;RAC1;PRKACA;MYD88;FGFR1
