Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	34/201	2.332485e-37	4.525020e-35	0	0	3.677745e+01	3.102131e+03	ITGB1;SRC;CAMK2A;ARAF;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CBL;NRAS;RRAS;ERBB3;MYC;AKT1;FLNB;PLCG1;RAC1;HRAS;MAPK3;TGFB1;CAV1;STAT3;GAB1;RRAS2;FRS2;PTPN11;PTK2;RHOA;FAS;KRAS;RAF1;SOS1;MET
KEGG_2019_Human	ErbB signaling pathway	26/85	5.286024e-36	5.127443e-34	0	0	7.456874e+01	6.057069e+03	SHC1;SRC;CAMK2A;ARAF;PIK3CD;PIK3R3;PIK3R2;PIK3CB;PIK3R1;CBL;CRKL;NRAS;ERBB3;MYC;ABL1;AKT1;PLCG1;HRAS;NCK1;MAPK3;EGF;GAB1;PTK2;KRAS;RAF1;SOS1
KEGG_2019_Human	Neurotrophin signaling pathway	27/119	2.106906e-33	1.362466e-31	0	0	5.000515e+01	3.762392e+03	SHC1;CAMK2A;PSEN2;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CRKL;RPS6KA3;NRAS;RPS6KA2;ABL1;AKT1;PLCG1;RAC1;HRAS;MAPK3;NGFR;GAB1;FRS2;PTPN11;NFKB1;RHOA;KRAS;RAF1;SOS1
KEGG_2019_Human	Ras signaling pathway	32/232	3.521579e-32	1.707966e-30	0	0	2.833441e+01	2.052086e+03	SHC1;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;RRAS;ABL1;AKT1;PLCG1;RAC1;HRAS;MAPK3;NGFR;EGF;INSR;GAB1;RRAS2;PTPN11;GAB2;NFKB1;RHOA;GNB1;NF1;KRAS;RAF1;SOS1;RAB5A;MET;EPHA2;ARF6
KEGG_2019_Human	Chronic myeloid leukemia	23/76	8.715513e-32	3.381619e-30	0	0	7.161824e+01	5.121966e+03	TGFB1;SHC1;ARAF;PIK3CD;PIK3R3;PIK3R2;PTPN11;PIK3CB;GAB2;PIK3R1;CBL;TGFBR1;NFKB1;CRKL;NRAS;MYC;ABL1;AKT1;KRAS;RAF1;SOS1;HRAS;MAPK3
KEGG_2019_Human	Axon guidance	28/181	1.261090e-29	4.077524e-28	0	0	3.135618e+01	2.086534e+03	ITGB1;SRC;CAMK2A;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;EFNB2;NRAS;RRAS;ABL1;PLCG1;RAC1;EPHB2;HRAS;PDK1;MAPK3;NCK1;LIMK2;PTPN11;PTK2;RHOA;FES;KRAS;RAF1;MET;EPHA2
KEGG_2019_Human	MAPK signaling pathway	32/295	8.957930e-29	2.482626e-27	0	0	2.147803e+01	1.387103e+03	ARAF;CRKL;RPS6KA3;NRAS;RRAS;ERBB3;MYC;RPS6KA2;AKT1;FLNB;RAC1;HRAS;MAPK3;MAP2K3;NGFR;HSPA8;TGFB1;EGF;INSR;RRAS2;FOS;MAPK8IP2;NFKB1;TGFBR1;NF1;FAS;KRAS;MAPT;RAF1;SOS1;MET;EPHA2
KEGG_2019_Human	Colorectal cancer	21/86	7.379174e-27	1.789450e-25	0	0	5.241261e+01	3.153726e+03	TGFB1;EGF;ARAF;PIK3CD;PIK3R3;PIK3R2;PIK3CB;FOS;PIK3R1;RHOA;TGFBR1;NRAS;MYC;AKT1;KRAS;RAC1;RAF1;SOS1;HRAS;APPL1;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	27/206	1.444573e-26	3.113857e-25	0	0	2.558784e+01	1.522461e+03	ITGB1;SRC;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;CRKL;NRAS;RRAS;AKT1;PLCG1;RAC1;HRAS;MAPK3;MAP2K3;MAGI1;NGFR;FYB1;EGF;INSR;RHOA;KRAS;RAF1;MET;BCAR1;EPHA2
KEGG_2019_Human	Hepatitis B	25/163	2.110427e-26	4.094228e-25	0	0	3.027358e+01	1.789784e+03	SRC;ARAF;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;NRAS;MYC;AKT1;PTK2B;HRAS;JAK3;MAPK3;MAP2K3;TGFB1;STAT3;FOS;TIRAP;NFKB1;TGFBR1;FAS;KRAS;RAF1;SOS1
KEGG_2019_Human	Phospholipase D signaling pathway	24/148	5.594464e-26	9.866601e-25	0	0	3.209488e+01	1.866171e+03	EGF;SHC1;INSR;GAB1;PIK3R3;RRAS2;PIK3CD;PTPN11;PIK3R2;PIK3R1;GAB2;PIK3CB;RHOA;NRAS;RRAS;AKT1;PTK2B;KRAS;PLCG1;RAF1;SOS1;HRAS;ARF6;MAPK3
KEGG_2019_Human	Renal cell carcinoma	19/69	1.691183e-25	2.734079e-24	0	0	6.069887e+01	3.462215e+03	TGFB1;ARAF;GAB1;PIK3CD;PIK3R3;PIK3R2;PTPN11;PIK3CB;PIK3R1;CRKL;NRAS;AKT1;KRAS;RAC1;RAF1;SOS1;HRAS;MET;MAPK3
