Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	41/530	5.940386e-36	1.104912e-33	0	0	2.290847e+01	1.858135e+03	CSF1R;HDAC2;NOTCH1;HDAC1;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;RELA;IGF1R;MAPK9;MAPK8;CDH1;AKT1;EP300;RAC3;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;CREBBP;MAP2K1;MAP2K2;ESR1;PML;NFKB1;PTK2;PIK3CA;GNB1;KIT;RARA;GNB3;GRB2;ARHGEF1;TP53;CRK;NFE2L2
KEGG_2019_Human	Neurotrophin signaling pathway	21/119	5.301668e-26	4.573625e-24	0	0	4.660126e+01	2.712155e+03	NGFR;MAP2K1;MAP2K2;IRS1;PRKCD;GAB1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;MAPK9;MAPK8;PIK3CA;AKT1;GRB2;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	29/354	7.376815e-26	4.573625e-24	0	0	2.103158e+01	1.217074e+03	CSF1R;IRS1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;ERBB3;ERBB4;AKT1;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NGFR;MAP2K1;MAP2K2;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;TP53
KEGG_2019_Human	Ras signaling pathway	25/232	2.734665e-25	1.271619e-23	0	0	2.732106e+01	1.545242e+03	CSF1R;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;MAPK9;MAPK8;AKT1;RAC3;HRAS;MAPK3;PDGFRB;NGFR;MAP2K1;MAP2K2;GAB1;GAB2;NFKB1;PIK3CA;GNB1;KIT;GNB3;GRB2
KEGG_2019_Human	Chronic myeloid leukemia	18/76	6.737728e-25	2.506435e-23	0	0	6.546955e+01	3.643833e+03	MAP2K1;HDAC2;MAP2K2;HDAC1;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT1;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	ErbB signaling pathway	18/85	6.232574e-24	1.754644e-22	0	0	5.664941e+01	3.026906e+03	MAP2K1;MAP2K2;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;MAPK9;MAPK8;PIK3CA;ERBB3;ERBB4;AKT1;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	23/201	6.603499e-24	1.754644e-22	0	0	2.861571e+01	1.527347e+03	MAP2K1;DDX5;MAP2K2;CAV1;GAB1;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;ESR1;ACTB;PTK2;IGF1R;PIK3CA;ERBB3;ERBB4;AKT1;GRB2;ARHGEF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	22/186	3.264593e-23	7.590178e-22	0	0	2.939892e+01	1.522168e+03	CREBBP;MAP2K1;MAP2K2;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;HCK;MAPK9;MAPK8;PIK3CA;GNB1;AKT1;GNB3;EP300;JAK2;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Chemokine signaling pathway	22/190	5.270903e-23	1.023192e-21	0	0	2.869312e+01	1.471878e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;FGR;HCK;PIK3CA;GNB1;AKT1;GNB3;RAC3;GRB2;JAK2;CRK;HRAS;JAK3;BCAR1;MAPK3
KEGG_2019_Human	Hepatitis B	21/163	5.501031e-23	1.023192e-21	0	0	3.208992e+01	1.644754e+03	CREBBP;MAP2K1;MAP2K2;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;MAPK9;MAPK8;PIK3CA;AKT1;EP300;GRB2;JAK2;TP53;HRAS;JAK3;MAPK3;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	23/225	9.212251e-23	1.557708e-21	0	0	2.518512e+01	1.277866e+03	MAP2K1;MAP2K2;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNB1;AKT1;GNB3;RAC3;GRB2;ARHGEF1;TP53;CRK;HRAS;BCAR1;MAPK3;JAK1
KEGG_2019_Human	Influenza A	21/171	1.551526e-22	2.404866e-21	0	0	3.036615e+01	1.524916e+03	CREBBP;MAP2K1;MAP2K2;PIK3R3;FASLG;PIK3R2;PIK3R1;PML;RELA;ACTB;NFKB1;TNFRSF1A;MAPK9;MAPK8;PIK3CA;CASP1;AKT1;EP300;JAK2;MAPK3;JAK1
KEGG_2019_Human	Acute myeloid leukemia	16/66	2.081613e-22	2.978308e-21	0	0	6.612667e+01	3.301290e+03	CSF1R;MAP2K1;MAP2K2;PIK3R3;PIK3R2;PIK3R1;RELA;PML;NFKB1;PIK3CA;KIT;RARA;AKT1;GRB2;HRAS;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	16/70	5.926855e-22	7.874251e-21	0	0	6.121605e+01	2.992080e+03	MAP2K1;MAP2K2;PIK3R3;PIK3R2;PIK3R1;ESR1;RELA;NFKB1;MAPK9;MAPK8;PIK3CA;AKT1;GRB2;JAK2;HRAS;MAPK3
KEGG_2019_Human	Human papillomavirus infection	25/330	1.818480e-21	2.254916e-20	0	0	1.845016e+01	8.811111e+02	HDAC2;NOTCH1;HDAC1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;SLC9A3R1;AKT1;EP300;HRAS;MAPK3;JAK1;PDGFRB;CREBBP;MAP2K1;MAP2K2;NFKB1;PTK2;TNFRSF1A;PIK3CA;GRB2;TP53;ATR
KEGG_2019_Human	Thyroid hormone signaling pathway	18/116	2.528487e-21	2.939366e-20	0	0	3.866913e+01	1.833948e+03	CREBBP;MAP2K1;HDAC2;MAP2K2;NOTCH1;HDAC3;HDAC1;PIK3R3;PIK3R2;PIK3R1;ESR1;ACTB;PIK3CA;AKT1;EP300;TP53;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	17/97	3.864884e-21	4.110983e-20	0	0	4.430737e+01	2.082551e+03	PDGFRB;MAP2K1;CREBBP;MAP2K2;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;PIK3CA;AKT1;EP300;GRB2;TP53;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	19/143	3.978371e-21	4.110983e-20	0	0	3.256296e+01	1.529593e+03	NGFR;MAP2K1;MAP2K2;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;ACTB;NFKB1;TNFRSF1A;MAPK9;MAPK8;PIK3CA;LMNA;AKT1;TP53;HRAS;MAPK3
KEGG_2019_Human	Osteoclast differentiation	18/127	1.395322e-20	1.365947e-19	0	0	3.474741e+01	1.588602e+03	CSF1R;MAP2K1;JUND;PIK3R3;PIK3R2;PIK3R1;GAB2;RELA;NFKB1;TNFRSF1A;MAPK9;MAPK8;PIK3CA;AKT1;GRB2;SQSTM1;MAPK3;JAK1
