Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	25/530	4.807612e-17	8.557549e-15	0	0	1.170490e+01	4.397970e+02	HDAC2;HDAC1;PTEN;PIK3R1;CBL;MAPK9;MAPK8;CDH1;SUFU;E2F1;DVL2;CTNNA1;AKT1;EP300;CTNNA3;CREBBP;MAP2K1;MAP2K2;CHUK;NCOA3;PML;AR;RARA;CTNNB1;NFE2L2
KEGG_2019_Human	Bacterial invasion of epithelial cells	13/74	1.106769e-16	9.850241e-15	0	0	4.496268e+01	1.651925e+03	CAV1;PXN;PIK3R1;ARPC5;CBL;ACTB;CD2AP;CTTN;CDH1;CTNNA1;CTNNB1;CTNNA3;BCAR1
KEGG_2019_Human	Adherens junction	12/72	3.429740e-15	2.034979e-13	0	0	4.175368e+01	1.390660e+03	AFDN;CREBBP;CSNK2A1;CDH1;CSNK2A2;CSNK2B;CTNNA1;EP300;CTNNB1;CTNNA3;ACTN4;ACTB
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	1.265208e-12	5.630177e-11	0	0	2.403522e+01	6.584638e+02	CREBBP;MAP2K1;HDAC2;MAP2K2;HDAC3;HDAC1;NCOA3;AKT1;CTNNB1;EP300;PIK3R1;ACTB
KEGG_2019_Human	Prostate cancer	11/97	4.119236e-12	1.466448e-10	0	0	2.639014e+01	6.918269e+02	AR;MAP2K1;CREBBP;MAP2K2;CHUK;PTEN;E2F1;AKT1;EP300;CTNNB1;PIK3R1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.163615e-11	3.452058e-10	0	0	1.445749e+01	3.639948e+02	EGR1;CREBBP;MAP2K1;MAP2K2;CHUK;PTEN;PIK3R1;MAPK9;DLG1;MAPK8;CDC27;E2F1;AKT1;EP300
KEGG_2019_Human	Endometrial cancer	9/58	2.182222e-11	5.218739e-10	0	0	3.719200e+01	9.129927e+02	MAP2K1;MAP2K2;CDH1;PTEN;CTNNA1;AKT1;CTNNB1;CTNNA3;PIK3R1
KEGG_2019_Human	Human papillomavirus infection	16/330	2.345501e-11	5.218739e-10	0	0	1.096325e+01	2.683359e+02	CREBBP;MAP2K1;HDAC2;MAP2K2;CHUK;CSNK1A1;HDAC1;PXN;PTEN;PIK3R1;DLG1;E2F1;DVL2;AKT1;CTNNB1;EP300
KEGG_2019_Human	Focal adhesion	13/199	5.047524e-11	9.982881e-10	0	0	1.465288e+01	3.474131e+02	MAP2K1;CAV1;PXN;PTEN;ACTN4;PIK3R1;ACTB;PPP1CA;MAPK9;MAPK8;AKT1;CTNNB1;BCAR1
KEGG_2019_Human	Proteoglycans in cancer	13/201	5.721217e-11	1.018377e-09	0	0	1.449553e+01	3.418663e+02	MAP2K1;DDX5;MAP2K2;CAV1;PXN;PIK3R1;CBL;ACTB;PPP1CA;ERBB3;CTTN;AKT1;CTNNB1
