Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	29/201	1.237179e-32	2.560960e-30	0	0	3.820155e+01	2.806664e+03	DDX5;ARAF;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;IGF1R;CDC42;NRAS;ERBB3;ERBB4;KDR;AKT1;HRAS;MAPK3;MAP2K1;CAV1;GAB1;BRAF;ESR1;PTK2;MRAS;PIK3CA;CTNNB1;GRB2;KRAS;TP53;CD44
KEGG_2019_Human	PI3K-Akt signaling pathway	34/354	3.588572e-32	3.714172e-30	0	0	2.534970e+01	1.835444e+03	CSF1R;FLT1;IRS1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;NRAS;ERBB3;ERBB4;CD19;KDR;AKT1;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;PDGFRA;NGFR;MAP2K1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GRB2;KRAS;PIK3AP1;TP53
KEGG_2019_Human	Pathways in cancer	37/530	5.236347e-30	3.613079e-28	0	0	1.842162e+01	1.242021e+03	CSF1R;NOTCH1;HDAC1;ARAF;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;IGF1R;CDC42;NRAS;AKT1;JAK2;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;PDGFRA;MAP2K1;BRAF;ESR1;NFKB1;PTK2;PIK3CA;GNAQ;GNB1;KIT;CTNNB1;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	Ras signaling pathway	28/232	2.975552e-29	1.539848e-27	0	0	3.069519e+01	2.016199e+03	CSF1R;FLT1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;CDC42;NRAS;KDR;AKT1;HRAS;MAPK3;PDGFRB;PDGFRA;NGFR;MAP2K1;GAB1;GAB2;NFKB1;MRAS;PIK3CA;GNB1;KIT;GRB2;KRAS;ARF6
KEGG_2019_Human	Chronic myeloid leukemia	20/76	2.771341e-28	1.147335e-26	0	0	7.376488e+01	4.680607e+03	MAP2K1;HDAC1;ARAF;PIK3R3;PIK3R2;BRAF;GAB2;PIK3R1;CBL;RELA;NFKB1;NRAS;PIK3CA;AKT1;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Prostate cancer	20/97	6.288730e-26	2.169612e-24	0	0	5.359037e+01	3.109766e+03	PDGFRB;PDGFRA;MAP2K1;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;NFKB1;RELA;IGF1R;NRAS;PIK3CA;AKT1;CTNNB1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	21/119	1.170218e-25	3.460501e-24	0	0	4.463008e+01	2.562098e+03	NGFR;MAP2K1;IRS1;GAB1;PIK3R3;FASLG;BRAF;PIK3R2;PIK3R1;RELA;NFKB1;CDC42;NRAS;PIK3CA;AKT1;GRB2;KRAS;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	19/85	2.123783e-25	5.495288e-24	0	0	5.881631e+01	3.341438e+03	MAP2K1;ARAF;GAB1;PIK3R3;PIK3R2;BRAF;PIK3R1;CBL;PTK2;NRAS;PIK3CA;ERBB3;ERBB4;AKT1;KRAS;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	24/206	9.992714e-25	2.298324e-23	0	0	2.823985e+01	1.560612e+03	PDGFRB;PDGFRA;NGFR;CSF1R;MAP2K1;FLT1;PIK3R3;BRAF;PIK3R2;PIK3R1;IGF1R;CDC42;NRAS;MRAS;PIK3CA;GNAQ;KIT;KDR;AKT1;CTNNB1;KRAS;CRK;HRAS;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	17/66	5.575203e-24	1.154067e-22	0	0	6.951041e+01	3.721845e+03	CSF1R;MAP2K1;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;RELA;NFKB1;NRAS;PIK3CA;KIT;AKT1;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	26/295	1.394271e-23	2.623764e-22	0	0	2.106526e+01	1.108603e+03	CSF1R;FLT1;ARAF;FASLG;RELA;IGF1R;CDC42;NRAS;ERBB3;ERBB4;KDR;AKT1;HRAS;MAPK3;PDGFRB;PDGFRA;NGFR;MAP2K1;BRAF;NFKB1;MRAS;KIT;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	Endometrial cancer	16/58	3.654914e-23	6.304726e-22	0	0	7.558857e+01	3.905161e+03	MAP2K1;ARAF;ILK;PIK3R3;PIK3R2;BRAF;PIK3R1;NRAS;PIK3CA;AKT1;CTNNB1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Glioma	17/75	6.304065e-23	1.003801e-21	0	0	5.869767e+01	3.000523e+03	PDGFRB;PDGFRA;MAP2K1;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;IGF1R;NRAS;PIK3CA;AKT1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	22/190	1.198202e-22	1.771628e-21	0	0	2.746657e+01	1.386404e+03	MAP2K1;PIK3R3;BRAF;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;CDC42;FGR;HCK;NRAS;PIK3CA;GNB1;AKT1;GRB2;KRAS;JAK2;CRK;HRAS;JAK3;MAPK3
KEGG_2019_Human	Renal cell carcinoma	16/69	8.303215e-22	1.145844e-20	0	0	5.986717e+01	2.905966e+03	MAP2K1;ARAF;GAB1;PIK3R3;PIK3R2;BRAF;PIK3R1;CDC42;NRAS;PIK3CA;AKT1;KRAS;GRB2;HRAS;CRK;MAPK3
