Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	23/201	2.436933e-21	4.557064e-19	0	0	2.118993e+01	1.005749e+03	RB1;HDAC4;JUN;HDAC2;TBP;HDAC3;CDKN2A;SRC;PXN;CHD4;RBPJ;RELA;KAT2B;CREB1;PKM;CCND1;HIST4H4;CASP3;MDM2;CDK1;EP300;HIST1H2BG;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	1.870478e-16	1.748897e-14	0	0	2.489071e+01	9.014212e+02	GSK3B;HDAC2;THRB;HDAC3;THRA;SRC;ESR1;ACTB;MED17;KAT2B;CCND1;SIN3A;MDM2;EP300;RAF1;TP53
KEGG_2019_Human	Pathways in cancer	25/530	6.318564e-14	3.938572e-12	0	0	8.118812e+00	2.467526e+02	RB1;GSK3B;HDAC2;CTBP2;CTBP1;PTEN;ETS1;RELA;CCND1;CDH1;CASP3;CTNNA1;EP300;TCF7L2;JUN;CDKN2A;DAPK3;ESR1;AR;MDM2;RARA;PPARG;RAF1;TP53;CRK
KEGG_2019_Human	Prostate cancer	13/97	2.045168e-13	9.561159e-12	0	0	2.353929e+01	6.877738e+02	RB1;GSK3B;TCF7L2;PTEN;RELA;AR;CREB1;CCND1;MDM2;EP300;ERG;RAF1;TP53
KEGG_2019_Human	Human papillomavirus infection	20/330	2.618700e-13	9.793937e-12	0	0	1.025282e+01	2.970337e+02	RB1;GSK3B;TCF7L2;HDAC2;TBP;MAML1;PXN;PTEN;CHD4;RBPJ;RELA;PPP2CA;CREB1;PKM;CCND1;CASP3;MDM2;EP300;RAF1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	11/76	6.511265e-12	2.029344e-10	0	0	2.537436e+01	6.535797e+02	RB1;HDAC2;CCND1;CTBP2;CTBP1;CDKN2A;MDM2;RAF1;TP53;CRK;RELA
KEGG_2019_Human	Bladder cancer	9/41	1.092094e-11	2.917452e-10	0	0	4.161031e+01	1.050258e+03	RB1;CCND1;SRC;CDH1;CDKN2A;DAPK3;MDM2;RAF1;TP53
KEGG_2019_Human	Cell cycle	12/124	8.988988e-11	2.101176e-09	0	0	1.614913e+01	3.735687e+02	RB1;GSK3B;CDK7;HDAC2;FZR1;CCND1;CCNH;CDKN2A;MDM2;CDK1;EP300;TP53
KEGG_2019_Human	Hepatocellular carcinoma	13/168	2.416173e-10	5.020271e-09	0	0	1.271097e+01	2.814674e+02	RB1;GSK3B;TCF7L2;SMARCD1;SMARCB1;CDKN2A;PTEN;ACTB;SMARCA4;CCND1;RAF1;BRD7;TP53
KEGG_2019_Human	Wnt signaling pathway	12/158	1.511944e-09	2.825383e-08	0	0	1.236704e+01	2.511730e+02	RNF43;GSK3B;TCF7L2;JUN;CCND1;CTBP2;CSNK2A1;CTBP1;RUVBL1;CSNK2B;EP300;TP53
KEGG_2019_Human	Notch signaling pathway	8/48	1.661990e-09	2.825383e-08	0	0	2.935852e+01	5.934898e+02	NCOR2;KAT2B;HDAC2;CTBP2;CTBP1;MAML1;EP300;RBPJ
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	6.230707e-09	9.709518e-08	0	0	9.539320e+00	1.802338e+02	RB1;JUN;TBP;CDKN2A;PTEN;GPS2;ETS1;RELA;KAT2B;CREB1;CCND1;EP300;TP53
KEGG_2019_Human	Endometrial cancer	8/58	7.949963e-09	1.143572e-07	0	0	2.347496e+01	4.378104e+02	GSK3B;TCF7L2;CCND1;CDH1;PTEN;CTNNA1;RAF1;TP53
KEGG_2019_Human	Human cytomegalovirus infection	13/225	8.621807e-09	1.151627e-07	0	0	9.266509e+00	1.720695e+02	RB1;GSK3B;CDKN2A;SRC;PXN;RELA;CREB1;CCND1;CASP3;MDM2;RAF1;TP53;CRK
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	9.650342e-09	1.203076e-07	0	0	1.036220e+01	1.912476e+02	RB1;GSK3B;JUN;CREB1;CCND1;UBB;SRC;CASP3;EP300;RAF1;TP53;RELA
KEGG_2019_Human	Cellular senescence	11/160	2.117224e-08	2.474506e-07	0	0	1.102237e+01	1.947716e+02	RB1;CCND1;CDKN2A;MDM2;CDK1;PTEN;RAF1;TP53;ETS1;RELA;PPP1CA
KEGG_2019_Human	Epstein-Barr virus infection	12/201	2.296906e-08	2.526596e-07	0	0	9.532534e+00	1.676689e+02	RB1;NCOR2;PSMC5;JUN;HDAC2;CCND1;SIN3A;CASP3;MDM2;RBPJ;TP53;RELA
KEGG_2019_Human	Adherens junction	8/72	4.563764e-08	4.491705e-07	0	0	1.832685e+01	3.097702e+02	TCF7L2;CSNK2A1;CDH1;SRC;CSNK2B;CTNNA1;EP300;ACTB
KEGG_2019_Human	Melanoma	8/72	4.563764e-08	4.491705e-07	0	0	1.832685e+01	3.097702e+02	RB1;CCND1;CDH1;CDKN2A;PTEN;MDM2;RAF1;TP53
KEGG_2019_Human	Proteoglycans in cancer	11/201	2.183794e-07	2.041847e-06	0	0	8.625877e+00	1.322954e+02	CCND1;SRC;CASP3;RPS6;PXN;MDM2;RAF1;TP53;ESR1;ACTB;PPP1CA
KEGG_2019_Human	Mitophagy	7/65	4.058501e-07	3.613998e-06	0	0	1.757011e+01	2.585842e+02	JUN;CSNK2A1;UBB;SRC;CSNK2B;TP53;RELA
KEGG_2019_Human	Measles	9/138	6.649507e-07	5.652081e-06	0	0	1.027143e+01	1.460963e+02	HSPA8;GSK3B;JUN;CCND1;CSNK2A1;CASP3;CSNK2B;TP53;RELA
KEGG_2019_Human	Basal transcription factors	6/45	7.784805e-07	6.329385e-06	0	0	2.225491e+01	3.130359e+02	CDK7;TBP;CCNH;TAF7;TAF9B;TAF1
