Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	21/100	1.511036e-25	2.901189e-23	0	0	4.418690e+01	2.525362e+03	JUN;VCAM1;CDKN1B;PRKCA;NFKB1;RELA;CDC42;DIAPH1;PLCB3;MAPK8;PLCB4;PIK3CA;PLCG2;AKT1;PLCG1;RAC1;PLCB1;PLCD3;PLCB2;PLCD4;PLCD1
KEGG_2019_Human	Pathways in cancer	32/530	3.771279e-21	3.620428e-19	0	0	1.151986e+01	5.417429e+02	CDKN1B;HDAC1;PLD1;RELA;CDC42;MAPK8;PLCG2;AKT1;EP300;PLCG1;RAC1;RALBP1;JUN;EGLN3;ARNT;PRKCA;ESR1;PML;NFKB1;ESR2;PLCB3;PLCB4;APC;PIK3CA;RPS6KB1;TRAF6;CDK2;MDM2;CTNNB1;PLCB1;PLCB2;BIRC3
KEGG_2019_Human	Inositol phosphate metabolism	15/74	2.825247e-18	1.808158e-16	0	0	4.027322e+01	1.627358e+03	PIK3C2G;SYNJ2;PLCB3;PLCB4;PIK3CA;PLCG2;PIP4K2A;PIP5K1A;PLCG1;PIP5K1C;PLCB1;PLCD3;PLCB2;PLCD4;PLCD1
KEGG_2019_Human	Thyroid hormone signaling pathway	17/116	4.878376e-18	2.341621e-16	0	0	2.758783e+01	1.099698e+03	HDAC1;PRKCA;ESR1;PLCB3;PLCB4;PIK3CA;PLCG2;MDM2;AKT1;EP300;CTNNB1;PLCG1;PLCB1;PLCD3;PLCB2;PLCD4;PLCD1
KEGG_2019_Human	Phosphatidylinositol signaling system	16/99	9.527358e-18	3.658505e-16	0	0	3.074543e+01	1.204986e+03	PRKCA;PIK3C2G;SYNJ2;PLCB3;PLCB4;PIK3CA;PLCG2;PIP4K2A;PIP5K1A;PLCG1;PIP5K1C;PLCB1;PLCD3;PLCB2;PLCD4;PLCD1
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	15/91	7.685042e-17	2.459213e-15	0	0	3.123789e+01	1.159072e+03	NCF1;SYK;PRKCA;PLD1;VAV1;CDC42;PIK3CA;RPS6KB1;PLCG2;AKT1;PIP5K1A;RAC1;PLCG1;PIP5K1C;DOCK2
KEGG_2019_Human	Regulation of actin cytoskeleton	18/214	1.110818e-14	3.046814e-13	0	0	1.480228e+01	4.756133e+02	IQGAP1;BAIAP2;IQGAP2;VAV1;ENAH;CDC42;DIAPH1;DIAPH3;APC;PIK3CA;SPATA13;PIP4K2A;PIP5K1A;MYH9;ARHGEF4;PIP5K1C;RAC1;BCAR1
KEGG_2019_Human	Viral carcinogenesis	17/201	5.805250e-14	1.393260e-12	0	0	1.477960e+01	4.504443e+02	ATF2;JUN;CDKN1B;SYK;HDAC1;RELA;NFKB1;HDAC6;HDAC7;CDC42;PKM;PIK3CA;CDK2;MDM2;REL;EP300;RAC1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	13/103	3.438538e-13	7.335547e-12	0	0	2.248556e+01	6.453033e+02	JUN;NFKB1;RELA;TNFRSF1A;PLCB3;MAPK8;PLCB4;PIK3CA;TRAF6;AKT1;PLCB1;PLCB2;MYD88
KEGG_2019_Human	Epstein-Barr virus infection	16/201	8.507390e-13	1.633419e-11	0	0	1.372276e+01	3.813920e+02	JUN;CDKN1B;SYK;DDX58;HDAC1;RELA;NFKB1;MAPK8;PIK3CA;TRAF6;CDK2;MDM2;PLCG2;AKT1;RAC1;MYD88
