Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	20/201	1.122761e-20	2.099562e-18	0	0	2.723619e+01	1.251119e+03	SMAD2;SRC;PXN;ARAF;RRAS2;PTPN11;PIK3R1;CBL;EGFR;PPP1CA;NRAS;PIK3CA;RRAS;ERBB3;RPS6KB1;MYC;AKT1;CTNNB1;PLCG1;RAC1
KEGG_2019_Human	Pathways in cancer	27/530	4.417497e-20	4.130359e-18	0	0	1.426289e+01	6.356417e+02	ARAF;PTEN;PIK3R1;CBL;EGFR;NRAS;CCND2;MYC;E2F1;DVL2;AKT1;PLCG1;RAC1;APPL1;SMAD2;SMAD3;CHUK;STAT1;NCOA3;FOS;AR;PIK3CA;RPS6KB1;TRAF6;CTNNB1;CALM1;PLCB1
KEGG_2019_Human	Colorectal cancer	14/86	8.014388e-18	4.995635e-16	0	0	4.483075e+01	1.764776e+03	SMAD2;SMAD3;ARAF;FOS;PIK3R1;EGFR;NRAS;PIK3CA;RPS6KB1;MYC;AKT1;CTNNB1;RAC1;APPL1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	17/186	4.709658e-17	2.201765e-15	0	0	2.391295e+01	8.989915e+02	SYK;CHUK;STAT1;SRC;PIK3R1;TYK2;FOS;PPP3CA;NRAS;PIK3CA;MYC;E2F1;AKT1;CTNNB1;PLCG1;RAC1;CALM1
KEGG_2019_Human	Hepatocellular carcinoma	16/168	2.173993e-16	8.130733e-15	0	0	2.474687e+01	8.924907e+02	SMAD2;SMAD3;CSNK1A1;ARAF;PTEN;PIK3R1;EGFR;NRAS;PIK3CA;RPS6KB1;MYC;E2F1;DVL2;AKT1;CTNNB1;PLCG1
KEGG_2019_Human	Breast cancer	15/147	7.072705e-16	1.993188e-14	0	0	2.642781e+01	9.219372e+02	CSNK1A1;NCOA3;ARAF;PTEN;PIK3R1;FOS;EGFR;NRAS;PIK3CA;RPS6KB1;MYC;E2F1;DVL2;AKT1;CTNNB1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	7.461130e-16	1.993188e-14	0	0	1.997292e+01	6.956899e+02	SMAD2;EGR1;SMAD3;CHUK;PTEN;PIK3R1;FOS;PPP3CA;NRAS;DLG1;CCND2;PIK3CA;LCK;MYC;CDC27;E2F1;AKT1
KEGG_2019_Human	Human cytomegalovirus infection	17/225	1.173866e-15	2.743911e-14	0	0	1.939087e+01	6.666286e+02	CHUK;SRC;PXN;PIK3R1;EGFR;PPP3CA;NRAS;PIK3CA;RPS6KB1;MYC;E2F1;AKT1;CTNNB1;RAC1;CALM1;PLCB1;BCAR1
KEGG_2019_Human	Pancreatic cancer	12/75	2.489322e-15	4.606891e-14	0	0	4.293723e+01	1.443840e+03	SMAD2;SMAD3;CHUK;PIK3CA;RPS6KB1;STAT1;ARAF;E2F1;AKT1;RAC1;PIK3R1;EGFR
KEGG_2019_Human	Cellular senescence	15/160	2.546283e-15	4.606891e-14	0	0	2.404260e+01	8.079308e+02	SMAD2;SMAD3;PTEN;RRAS2;PIK3R1;PPP1CA;PPP3CA;NRAS;CCND2;PIK3CA;RRAS;MYC;E2F1;AKT1;CALM1
