Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	52/530	2.374805e-46	4.702114e-44	0	0	2.480975e+01	2.606363e+03	GSK3B;CDKN1A;HSP90AB1;ARAF;PTEN;IKBKB;CCND2;CASP8;CDH1;MYC;AKT1;EP300;RAC1;ELOC;HRAS;JAK3;APPL1;JAK1;HSP90AA1;ARNT;FOS;AR;MSH2;TRAF4;PIK3CA;RAF1;TP53;BIRC2;NOTCH1;CAMK2A;PIK3R3;PIK3R2;PIK3R1;STK4;RELA;EGFR;HSP90B1;NRAS;ERBB2;PLCG1;VHL;STAT5A;EGLN1;CREBBP;STAT1;STAT3;ESR1;ESR2;PTK2;MDM2;CTNNB1;CALM1
KEGG_2019_Human	Proteoglycans in cancer	33/201	1.783039e-36	1.765208e-34	0	0	3.719866e+01	3.061998e+03	CDKN1A;SRC;PXN;CAMK2A;ARAF;PIK3R3;PIK3R2;PIK3R1;EGFR;ACTB;NRAS;PAK1;ERBB3;ERBB4;MYC;ERBB2;AKT1;PLCG1;RAC1;HRAS;STAT3;GAB1;FRS2;PTPN11;MAPK14;ESR1;PTK2;PIK3CA;CTTN;MDM2;CTNNB1;RAF1;TP53
KEGG_2019_Human	Prostate cancer	26/97	8.222791e-35	5.427042e-33	0	0	6.529527e+01	5.124606e+03	GSK3B;CDKN1A;HSP90AB1;ARAF;PTEN;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;HSP90B1;IKBKB;NRAS;ERBB2;AKT1;EP300;HRAS;CREBBP;HSP90AA1;AR;CREB1;PIK3CA;MDM2;CTNNB1;RAF1;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	37/354	1.798692e-33	8.903524e-32	0	0	2.281394e+01	1.720131e+03	PHLPP2;GSK3B;CDKN1A;HSP90AB1;IRS1;ITGB4;PTEN;PIK3R3;PIK3R2;PIK3R1;BRCA1;RELA;EGFR;HSP90B1;IKBKB;NRAS;CCND2;ERBB3;ERBB4;MYC;ERBB2;AKT1;RAC1;PCK1;HRAS;JAK3;JAK1;HSP90AA1;SYK;YWHAZ;PTK2;NR4A1;CREB1;PIK3CA;MDM2;RAF1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	30/186	6.653714e-33	2.634871e-31	0	0	3.541876e+01	2.624181e+03	GSK3B;BECN1;CDKN1A;SRC;PIK3R3;PIK3R2;PIK3R1;RELA;IKBKB;NRAS;CASP8;MYC;AKT1;EP300;PLCG1;RAC1;HRAS;JAK1;CREBBP;SYK;STAT1;STAT3;FOS;MAPK14;CREB1;PIK3CA;CTNNB1;RAF1;CALM1;TP53
KEGG_2019_Human	ErbB signaling pathway	23/85	5.848259e-31	1.929925e-29	0	0	6.443449e+01	4.485542e+03	STAT5A;GSK3B;CDKN1A;SRC;CAMK2A;ARAF;GAB1;PIK3R3;PIK3R2;PIK3R1;EGFR;PTK2;NRAS;PAK1;PIK3CA;ERBB3;ERBB4;MYC;ERBB2;AKT1;PLCG1;RAF1;HRAS
KEGG_2019_Human	Hepatitis B	27/163	5.811448e-30	1.643810e-28	0	0	3.560354e+01	2.396749e+03	CDKN1A;SRC;ARAF;PIK3R3;PIK3R2;PIK3R1;RELA;IKBKB;NRAS;CASP8;MYC;AKT1;EP300;HRAS;JAK3;JAK1;STAT5A;CREBBP;STAT1;STAT3;FOS;MAPK14;YWHAZ;CREB1;PIK3CA;RAF1;TP53
KEGG_2019_Human	FoxO signaling pathway	24/132	1.022853e-27	2.346485e-26	0	0	3.884956e+01	2.414391e+03	CREBBP;CDKN1A;IRS1;STAT3;ARAF;IRS4;PTEN;PIK3R3;PIK3R2;PIK3R1;STK4;MAPK14;PRKAG3;EGFR;IKBKB;NRAS;CCND2;PIK3CA;MDM2;AKT1;EP300;RAF1;PCK1;HRAS
KEGG_2019_Human	Renal cell carcinoma	20/69	1.066584e-27	2.346485e-26	0	0	6.912262e+01	4.292884e+03	EGLN1;CDKN1A;CREBBP;ARAF;GAB1;ARNT;PIK3R3;PIK3R2;PTPN11;PIK3R1;NRAS;PAK1;PIK3CA;AKT1;EP300;RAC1;ELOC;VHL;RAF1;HRAS
KEGG_2019_Human	Prolactin signaling pathway	20/70	1.484905e-27	2.940112e-26	0	0	6.773675e+01	4.184400e+03	STAT5A;GSK3B;SRC;STAT1;STAT3;PIK3R3;PIK3R2;FOS;TNFRSF11A;PIK3R1;MAPK14;ESR1;RELA;ESR2;NRAS;CCND2;PIK3CA;AKT1;RAF1;HRAS
KEGG_2019_Human	Human cytomegalovirus infection	28/225	1.909500e-27	3.437100e-26	0	0	2.564374e+01	1.577679e+03	GSK3B;CDKN1A;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;IKBKB;NRAS;CASP8;MYC;AKT1;RAC1;HRAS;JAK1;STAT3;MAPK14;PTK2;CREB1;PIK3CA;MDM2;CTNNB1;RAF1;CALM1;TP53;BCAR1
KEGG_2019_Human	Viral carcinogenesis	27/201	2.135816e-27	3.524096e-26	0	0	2.777445e+01	1.705655e+03	CDKN1A;SRC;PXN;PIK3R3;PIK3R2;PIK3R1;RELA;HDAC6;NRAS;CCND2;CASP8;EP300;RAC1;HRAS;JAK3;JAK1;STAT5A;CREBBP;SYK;STAT3;YWHAZ;KAT2B;DLG1;CREB1;PIK3CA;MDM2;TP53
KEGG_2019_Human	Hepatitis C	24/155	6.041165e-26	9.201159e-25	0	0	3.199135e+01	1.857694e+03	GSK3B;CDKN1A;CD81;STAT1;STAT3;ARAF;PIK3R3;PIK3R2;PIK3R1;YWHAZ;RELA;EGFR;PIAS1;IKBKB;NRAS;CASP8;PIK3CA;MYC;AKT1;CTNNB1;RAF1;TP53;HRAS;JAK1
KEGG_2019_Human	Thyroid hormone signaling pathway	22/116	6.811957e-26	9.634053e-25	0	0	4.023293e+01	2.331439e+03	GSK3B;CREBBP;NOTCH1;SRC;STAT1;PIK3R3;PIK3R2;PIK3R1;ESR1;ACTB;KAT2B;NRAS;PIK3CA;MYC;MDM2;AKT1;EP300;CTNNB1;PLCG1;RAF1;TP53;HRAS
KEGG_2019_Human	HIF-1 signaling pathway	21/100	9.349888e-26	1.234185e-24	0	0	4.533653e+01	2.612828e+03	EGLN1;CREBBP;CDKN1A;CAMK2A;STAT3;PIK3R3;ARNT;PIK3R2;ENO1;PIK3R1;RELA;EGFR;PIK3CA;ERBB2;AKT1;EP300;PLCG1;ELOC;VHL;ALDOA;GAPDH
KEGG_2019_Human	Endometrial cancer	18/58	1.238263e-25	1.449211e-24	0	0	7.496092e+01	4.299078e+03	GSK3B;CDKN1A;ARAF;PTEN;PIK3R3;PIK3R2;PIK3R1;EGFR;NRAS;PIK3CA;CDH1;MYC;ERBB2;AKT1;CTNNB1;RAF1;HRAS;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	22/119	1.244272e-25	1.449211e-24	0	0	3.898270e+01	2.235505e+03	GSK3B;IRS1;CAMK2A;GAB1;PIK3R3;FRS2;PIK3R2;PTPN11;PIK3R1;MAPK14;RELA;IKBKB;NRAS;PIK3CA;AKT1;PLCG1;RAC1;RAF1;CALM1;TP53;HRAS;SH2B2
KEGG_2019_Human	Non-small cell lung cancer	18/66	1.801479e-24	1.981627e-23	0	0	6.244223e+01	3.413931e+03	STAT5A;CDKN1A;STAT3;ARAF;PIK3R3;PIK3R2;PIK3R1;STK4;EGFR;NRAS;PIK3CA;ERBB2;AKT1;PLCG1;RAF1;HRAS;JAK3;TP53
KEGG_2019_Human	Human papillomavirus infection	29/330	5.090400e-24	5.304732e-23	0	0	1.745103e+01	9.359804e+02	GSK3B;CDKN1A;NOTCH1;ITGB4;PXN;PTEN;PIK3R3;PIK3R2;PIK3R1;RELA;EGFR;IKBKB;NRAS;CCND2;CASP8;AKT1;EP300;HRAS;JAK1;CREBBP;STAT1;PTK2;DLG1;CREB1;PIK3CA;MDM2;CTNNB1;RAF1;TP53
KEGG_2019_Human	Colorectal cancer	19/86	7.697460e-24	7.620485e-23	0	0	4.757450e+01	2.531970e+03	GSK3B;CDKN1A;ARAF;PIK3R3;PIK3R2;FOS;PIK3R1;EGFR;NRAS;MSH2;PIK3CA;MYC;AKT1;CTNNB1;RAC1;RAF1;HRAS;TP53;APPL1
KEGG_2019_Human	C-type lectin receptor signaling pathway	20/104	9.687592e-24	9.134016e-23	0	0	4.025031e+01	2.132912e+03	SYK;SRC;STAT1;PIK3R3;PIK3R2;PTPN11;PIK3R1;MAPK14;RELA;IKBKB;NRAS;PAK1;CASP8;PIK3CA;BCL3;MDM2;AKT1;RAF1;CALM1;HRAS
KEGG_2019_Human	Breast cancer	22/147	1.687008e-23	1.518307e-22	0	0	3.020772e+01	1.583987e+03	GSK3B;CDKN1A;NOTCH1;ARAF;PTEN;PIK3R3;PIK3R2;PIK3R1;BRCA1;FOS;ESR1;EGFR;ESR2;NRAS;PIK3CA;MYC;ERBB2;AKT1;CTNNB1;RAF1;TP53;HRAS
