Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	34/530	7.170623e-26	1.235611e-23	0	0	1.563306e+01	9.051110e+02	RB1;HDAC2;NOTCH1;CTBP1;HDAC1;ARAF;PIK3R3;PIK3R1;HIF1A;EGFR;FOXO1;CASP9;MAPK9;CCND2;CASP8;MYC;AKT1;MAPK1;E2F3;STAT3;FOS;ESR2;BCR;AR;PIK3CA;SP1;CDK4;CCNE1;CDK2;FAS;CTNNB1;GRB2;PPARG;CALM1
KEGG_2019_Human	Cellular senescence	23/160	1.307525e-25	1.235611e-23	0	0	3.452798e+01	1.978332e+03	RB1;PIK3R3;LIN9;PIK3R1;MAPK14;FOXO3;FOXO1;PPP1CB;CCNA2;CCND2;PIK3CA;CDK4;CCNE1;MYC;CHEK2;CHEK1;CDK2;CDK1;AKT1;MAPK1;E2F3;E2F4;CALM1
KEGG_2019_Human	Viral carcinogenesis	23/201	2.922361e-23	1.841088e-21	0	0	2.651972e+01	1.376031e+03	RB1;HDAC2;HDAC3;HDAC1;STAT3;UBR4;PIK3R3;PIK3R1;CCNA2;DLG1;CCND2;SNW1;CASP8;PIK3CA;CDK4;CCNE1;HIST4H4;CHEK1;CDK2;CDK1;MAPK1;GRB2;HIST1H2BG
KEGG_2019_Human	Epstein-Barr virus infection	22/201	7.645666e-22	3.612577e-20	0	0	2.496366e+01	1.213801e+03	RB1;HDAC2;HDAC1;STAT3;PIK3R3;PIK3R1;MAPK14;CCNA2;CASP9;MAPK9;CCND2;SNW1;CASP8;PIK3CA;PSMC4;CDK4;CCNE1;MYC;CDK2;FAS;AKT1;E2F3
KEGG_2019_Human	Hepatitis B	20/163	6.232433e-21	2.355860e-19	0	0	2.788444e+01	1.297310e+03	RB1;STAT3;ARAF;PIK3R3;PIK3R1;FOS;MAPK14;CCNA2;CASP9;MAPK9;CASP8;PIK3CA;CCNE1;MYC;CDK2;FAS;AKT1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Hepatitis C	19/155	6.450223e-20	2.031820e-18	0	0	2.758493e+01	1.218911e+03	RB1;STAT3;ARAF;PIK3R3;PIK3R1;EGFR;CASP9;PPP2CA;CASP8;PIK3CA;CDK4;MYC;CDK2;FAS;AKT1;CTNNB1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Chronic myeloid leukemia	15/76	3.496419e-19	9.440330e-18	0	0	4.686318e+01	1.991562e+03	RB1;HDAC2;HDAC1;CTBP1;ARAF;PIK3R3;PIK3R1;BCR;PIK3CA;CDK4;MYC;AKT1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Prostate cancer	16/97	4.615812e-19	1.090486e-17	0	0	3.797195e+01	1.603162e+03	RB1;ARAF;PIK3R3;PIK3R1;FOXO1;EGFR;CASP9;AR;PIK3CA;CCNE1;CDK2;AKT1;MAPK1;CTNNB1;GRB2;E2F3
KEGG_2019_Human	Non-small cell lung cancer	14/66	1.893115e-18	3.975541e-17	0	0	5.084359e+01	2.074841e+03	RB1;STAT3;ARAF;PIK3R3;PIK3R1;FOXO3;EGFR;CASP9;PIK3CA;CDK4;AKT1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	19/186	2.166591e-18	4.094856e-17	0	0	2.242910e+01	9.122673e+02	RB1;STAT3;PIK3R3;PIK3R1;FOS;MAPK14;HIF1A;CASP9;MAPK9;CASP8;PIK3CA;CDK4;MYC;FAS;AKT1;CTNNB1;MAPK1;E2F3;CALM1
