Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	4.104527e-21	8.003827e-19	0	0	1.292000e+01	6.064932e+02	HDAC2;ARAF;GLI1;EGFR;GLI2;NRAS;CCND2;CDH1;MYC;AKT1;MAPK1;PLCG1;RAC1;HRAS;CAMK2G;SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;FN1;FOS;ESR1;PIK3CA;SP1;CDK4;CDK2;CTNNB1;KRAS;CALM1
KEGG_2019_Human	Proteoglycans in cancer	21/201	2.263449e-20	2.206863e-18	0	0	2.321549e+01	1.050148e+03	SMAD2;CAV1;ARAF;FN1;RRAS2;PTPN11;ESR1;EGFR;NRAS;PAK1;PIK3CA;MYC;AKT1;CTNNB1;MAPK1;NANOG;KRAS;PLCG1;RAC1;HRAS;CAMK2G
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	20/219	2.873384e-18	1.190223e-16	0	0	1.977990e+01	7.989307e+02	SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;FOS;NRAS;DLG1;CCND2;XPO1;PIK3CA;CDK4;LCK;MYC;CHEK1;CDK2;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Colorectal cancer	15/86	2.908285e-18	1.190223e-16	0	0	3.985714e+01	1.609390e+03	SMAD2;SMAD4;SMAD3;ARAF;FOS;EGFR;NRAS;PIK3CA;MYC;AKT1;MAPK1;CTNNB1;KRAS;RAC1;HRAS
KEGG_2019_Human	FoxO signaling pathway	17/132	3.176139e-18	1.190223e-16	0	0	2.836682e+01	1.142924e+03	SMAD2;USP7;CREBBP;SMAD4;CDKN2B;SMAD3;ARAF;FOXO3;EGFR;NRAS;CCND2;PIK3CA;CDK2;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Cellular senescence	18/160	3.662223e-18	1.190223e-16	0	0	2.452941e+01	9.848181e+02	SMAD2;CDKN2B;SMAD3;RRAS2;FOXO3;NRAS;CCND2;PIK3CA;CDK4;MYC;CHEK1;CDK2;AKT1;MAPK1;KRAS;CALM1;BTRC;HRAS
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	15/100	3.156114e-17	8.792031e-16	0	0	3.326891e+01	1.264039e+03	SMAD2;SMAD4;SMAD3;FN1;NRAS;COL1A2;PIK3CA;CDK4;AKT1;MAPK1;KRAS;PLCG1;RAC1;HRAS;PLCD1
KEGG_2019_Human	Gastric cancer	16/149	6.340022e-16	1.545380e-14	0	0	2.284211e+01	7.993476e+02	SMAD2;SMAD4;CDKN2B;SMAD3;ARAF;EGFR;NRAS;PIK3CA;CDH1;MYC;CDK2;AKT1;CTNNB1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	13/76	7.451431e-16	1.614477e-14	0	0	3.821703e+01	1.331212e+03	HDAC2;SMAD4;SMAD3;ARAF;PTPN11;NRAS;PIK3CA;CDK4;MYC;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Endometrial cancer	12/58	8.759055e-16	1.708016e-14	0	0	4.790821e+01	1.661039e+03	NRAS;PIK3CA;CDH1;MYC;ARAF;AKT1;MAPK1;CTNNB1;KRAS;FOXO3;HRAS;EGFR
