Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	31/530	5.256529e-22	9.356621e-20	0	0	1.322973e+01	6.482226e+02	RB1;ALK;HDAC2;NOTCH1;CTBP1;HDAC1;PIK3R3;PIK3R1;HIF1A;EGFR;FOXO1;CASP9;CDC42;MAPK9;MYC;CASP3;ABL1;EP300;MAPK1;SKP2;STAT3;BCR;AR;CCNA1;SP1;CCNE1;CDK2;FAS;CTNNB1;GRB2;PPARG
KEGG_2019_Human	Viral carcinogenesis	21/201	3.251451e-20	2.893791e-18	0	0	2.275347e+01	1.021007e+03	RB1;HDAC2;HDAC1;STAT3;UBR4;PIK3R3;PIK3R1;CCNA2;CDC42;CCNA1;SNW1;CCNE1;HIST4H4;CASP3;CDK2;CDK1;EP300;MAPK1;GRB2;HIST1H2BG;SKP2
KEGG_2019_Human	Epstein-Barr virus infection	20/201	7.306422e-19	4.335144e-17	0	0	2.133788e+01	8.910777e+02	RB1;HDAC2;HDAC1;STAT3;PIK3R3;PIK3R1;MAPK14;CCNA2;CASP9;CCNA1;MAPK9;SNW1;PSMC4;CCNE1;MYC;CASP3;CDK2;FAS;CD247;SKP2
KEGG_2019_Human	Cellular senescence	18/160	4.978977e-18	2.215645e-16	0	0	2.405525e+01	9.583928e+02	RB1;PIK3R3;LIN9;PIK3R1;MAPK14;FOXO3;FOXO1;PPP1CB;CCNA2;PPP1CC;CCNA1;RBBP4;CCNE1;MYC;CDK2;CDK1;MAPK1;E2F4
KEGG_2019_Human	Hepatitis B	17/163	1.623425e-16	5.779394e-15	0	0	2.188154e+01	7.955433e+02	RB1;STAT3;PIK3R3;PIK3R1;MAPK14;CCNA2;CASP9;CCNA1;MAPK9;CCNE1;MYC;CASP3;CDK2;FAS;EP300;MAPK1;GRB2
KEGG_2019_Human	Human papillomavirus infection	21/330	8.874845e-16	2.632871e-14	0	0	1.316764e+01	4.563661e+02	RB1;HDAC2;NOTCH1;HDAC1;UBR4;PIK3R3;PIK3R1;EGFR;FOXO1;CCNA2;PPP2CA;CDC42;CCNA1;CCNE1;CASP3;CDK2;FAS;CTNNB1;EP300;MAPK1;GRB2
KEGG_2019_Human	Prostate cancer	13/97	2.548172e-14	6.335760e-13	0	0	2.810419e+01	8.796842e+02	RB1;PIK3R3;PIK3R1;FOXO1;EGFR;CASP9;AR;CCNE1;CDK2;EP300;MAPK1;CTNNB1;GRB2
KEGG_2019_Human	Cell cycle	14/124	2.847533e-14	6.335760e-13	0	0	2.329562e+01	7.265844e+02	RB1;HDAC2;HDAC1;CCNA2;CCNA1;CCNE1;MYC;CDC27;CDK2;ABL1;CDK1;EP300;E2F4;SKP2
KEGG_2019_Human	Hepatitis C	14/155	6.474626e-13	1.280537e-11	0	0	1.814539e+01	5.092634e+02	RB1;STAT3;PIK3R3;PIK3R1;EGFR;CASP9;PPP2CA;MYC;CASP3;CDK2;FAS;CTNNB1;MAPK1;GRB2
KEGG_2019_Human	Chronic myeloid leukemia	11/76	1.126775e-12	2.005659e-11	0	0	3.020693e+01	8.310428e+02	RB1;BCR;HDAC2;HDAC1;CTBP1;MYC;ABL1;PIK3R3;MAPK1;GRB2;PIK3R1
KEGG_2019_Human	FoxO signaling pathway	13/132	1.474081e-12	2.265713e-11	0	0	1.980318e+01	5.394977e+02	STAT3;PIK3R3;PIK3R1;MAPK14;FOXO3;EGFR;FOXO1;MAPK9;CDK2;EP300;MAPK1;GRB2;SKP2
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.527447e-12	2.265713e-11	0	0	1.484172e+01	4.038051e+02	STAT3;PIK3R3;PIK3R1;MAPK14;HIF1A;EGFR;PPP1CB;CDC42;PPP1CC;MYC;CASP3;FAS;CTNNB1;MAPK1;GRB2
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	6.163235e-12	8.438891e-11	0	0	2.074196e+01	5.354001e+02	CASP9;HDAC2;NOTCH1;HDAC1;MYC;EP300;PIK3R3;MAPK1;CTNNB1;PIK3R1;HIF1A;FOXO1
KEGG_2019_Human	Non-small cell lung cancer	10/66	7.756445e-12	9.347411e-11	0	0	3.160395e+01	8.085081e+02	ALK;RB1;CASP9;STAT3;PIK3R3;MAPK1;GRB2;PIK3R1;FOXO3;EGFR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	7.877031e-12	9.347411e-11	0	0	1.485164e+01	3.797128e+02	RB1;STAT3;PIK3R3;PIK3R1;MAPK14;HIF1A;CASP9;MAPK9;MYC;CASP3;FAS;CTNNB1;EP300;MAPK1
KEGG_2019_Human	Endometrial cancer	9/58	7.181007e-11	7.988871e-10	0	0	3.223063e+01	7.528107e+02	CASP9;MYC;PIK3R3;MAPK1;CTNNB1;GRB2;PIK3R1;FOXO3;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	14/225	1.014588e-10	1.062334e-09	0	0	1.208259e+01	2.780369e+02	RB1;STAT3;PIK3R3;PIK3R1;MAPK14;EGFR;CASP9;SP1;MYC;CASP3;FAS;CTNNB1;MAPK1;GRB2
KEGG_2019_Human	Colorectal cancer	10/86	1.175440e-10	1.162379e-09	0	0	2.326363e+01	5.319044e+02	CASP9;MAPK9;MYC;CASP3;PIK3R3;MAPK1;CTNNB1;GRB2;PIK3R1;EGFR
KEGG_2019_Human	Progesterone-mediated oocyte maturation	10/99	4.839645e-10	4.533983e-09	0	0	1.985253e+01	4.258171e+02	CCNA2;CCNA1;MAPK9;CDC27;CDK2;CDK1;PIK3R3;MAPK1;PIK3R1;MAPK14
KEGG_2019_Human	Pancreatic cancer	9/75	7.766741e-10	6.912399e-09	0	0	2.390829e+01	5.015002e+02	RB1;CASP9;CDC42;MAPK9;STAT3;PIK3R3;MAPK1;PIK3R1;EGFR
KEGG_2019_Human	Measles	11/138	8.246971e-10	6.990290e-09	0	0	1.541186e+01	3.223546e+02	CASP9;HSPA8;MAPK9;CCNE1;CASP3;CDK2;STAT3;FAS;PIK3R3;PIK3R1;TP73
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	8.747973e-10	7.077905e-09	0	0	1.138933e+01	2.375476e+02	RB1;PIK3R3;PIK3R1;CCNA2;CCNA1;MAPK9;CCNE1;MYC;CDC27;CDK2;EP300;MAPK1;TCF3
KEGG_2019_Human	Breast cancer	11/147	1.619201e-09	1.253121e-08	0	0	1.438540e+01	2.911797e+02	RB1;NOTCH1;SP1;MYC;PIK3R3;CTNNB1;MAPK1;GRB2;PIK3R1;BRCA1;EGFR
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	2.984325e-09	2.213375e-08	0	0	1.619348e+01	3.178763e+02	CDC42;MAPK9;ABL1;PIK3R3;MAPK1;GRB2;PIK3R1;FOXO3;MAPK14;TP73
KEGG_2019_Human	MicroRNAs in cancer	14/299	4.138312e-09	2.946478e-08	0	0	8.911696e+00	1.720223e+02	UBE2I;NOTCH1;HDAC1;STAT3;BRCA1;EGFR;CCNE1;MYC;CASP3;ABL1;EP300;MAPK1;GRB2;EZH2
KEGG_2019_Human	Small cell lung cancer	9/93	5.426686e-09	3.715193e-08	0	0	1.876802e+01	3.571917e+02	RB1;CASP9;CCNE1;MYC;CASP3;CDK2;PIK3R3;PIK3R1;SKP2
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	9/100	1.035639e-08	6.651193e-08	0	0	1.731820e+01	3.184065e+02	CDC42;MAPK9;CASP3;STAT3;PIK3R3;MAPK1;PIK3R1;MAPK14;FOXO1
KEGG_2019_Human	Prolactin signaling pathway	8/70	1.046255e-08	6.651193e-08	0	0	2.242898e+01	4.121428e+02	MAPK9;STAT3;PIK3R3;MAPK1;GRB2;PIK3R1;FOXO3;MAPK14
KEGG_2019_Human	Apoptosis	10/143	1.772169e-08	1.087745e-07	0	0	1.325524e+01	2.365858e+02	CASP9;MAPK9;PARP1;CASP6;CASP3;DAB2IP;FAS;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	TNF signaling pathway	9/110	2.402418e-08	1.425435e-07	0	0	1.559564e+01	2.736130e+02	MAPK9;CEBPB;CASP3;DAB2IP;PIK3R3;MAPK1;FAS;PIK3R1;MAPK14
KEGG_2019_Human	Gastric cancer	10/149	2.626984e-08	1.508397e-07	0	0	1.267921e+01	2.213137e+02	RB1;CCNE1;MYC;CDK2;PIK3R3;CTNNB1;MAPK1;GRB2;PIK3R1;EGFR
