Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	20/530	3.034790e-10	5.553666e-08	0	0	6.778011e+00	1.485449e+02	CSF1R;HSP90AA1;HSP90AB1;SLC2A1;KEAP1;ARNT;PIK3R1;HIF1A;EGFR;BCR;CDC42;RAD51;RPS6KB1;MYC;MDM2;BIRC5;CTNNB1;EP300;RAC1;TP53
KEGG_2019_Human	Cell cycle	10/124	9.590609e-09	7.698583e-07	0	0	1.420334e+01	2.622288e+02	YWHAE;STAG2;MYC;CDC27;MDM2;EP300;SMC3;TP53;YWHAZ;MCM2
KEGG_2019_Human	RNA transport	11/165	1.262063e-08	7.698583e-07	0	0	1.163754e+01	2.116629e+02	UBE2I;NUP107;NXT1;XPO1;NUP155;SUMO1;ALYREF;SUMO3;NUP153;PHAX;NMD3
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	2.507082e-08	1.054179e-06	0	0	1.274106e+01	2.229885e+02	UBE2I;HERC2;AIRE;SMURF1;CDC27;HUWE1;MDM2;SYVN1;KEAP1;BRCA1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	2.880271e-08	1.054179e-06	0	0	1.254225e+01	2.177686e+02	HSP90AA1;VCAM1;HSP90AB1;SUMO1;SUMO3;KEAP1;CTNNB1;PIK3R1;RAC1;TP53
KEGG_2019_Human	Proteoglycans in cancer	11/201	9.634905e-08	2.618291e-06	0	0	9.415311e+00	1.521071e+02	CDC42;RPS6KB1;MYC;MDM2;CTNNB1;PIK3R1;RAC1;TP53;HIF1A;EGFR;PPP1CA
KEGG_2019_Human	Colorectal cancer	8/86	1.001532e-07	2.618291e-06	0	0	1.636890e+01	2.638104e+02	RPS6KB1;MYC;BIRC5;CTNNB1;RAC1;PIK3R1;TP53;EGFR
KEGG_2019_Human	Central carbon metabolism in cancer	7/65	2.353340e-07	5.220198e-06	0	0	1.912690e+01	2.919197e+02	G6PD;MYC;SLC2A1;PIK3R1;TP53;HIF1A;EGFR
KEGG_2019_Human	Prostate cancer	8/97	2.567311e-07	5.220198e-06	0	0	1.433780e+01	2.175796e+02	HSP90AA1;HSP90AB1;MDM2;EP300;CTNNB1;PIK3R1;TP53;EGFR
KEGG_2019_Human	Renal cell carcinoma	7/69	3.568089e-07	6.529602e-06	0	0	1.788929e+01	2.655856e+02	CDC42;SLC2A1;EP300;ARNT;RAC1;PIK3R1;HIF1A
KEGG_2019_Human	Pancreatic cancer	7/75	6.352293e-07	9.921673e-06	0	0	1.630588e+01	2.326732e+02	CDC42;RAD51;RPS6KB1;RAC1;PIK3R1;TP53;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	13/354	6.506015e-07	9.921673e-06	0	0	6.255723e+00	8.911509e+01	YWHAE;CSF1R;HSP90AA1;HSP90AB1;PIK3R1;BRCA1;YWHAZ;EGFR;RPS6KB1;MYC;MDM2;RAC1;TP53
KEGG_2019_Human	Viral carcinogenesis	10/201	9.050677e-07	1.274057e-05	0	0	8.444340e+00	1.175051e+02	YWHAE;CDC42;DDX3X;HIST4H4;MDM2;EP300;PIK3R1;RAC1;TP53;YWHAZ
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	1.016349e-06	1.328514e-05	0	0	1.180406e+01	1.628877e+02	MYC;MDM2;SLC2A1;EP300;CTNNB1;PIK3R1;TP53;HIF1A
KEGG_2019_Human	Endometrial cancer	6/58	2.252161e-06	2.747637e-05	0	0	1.814652e+01	2.359705e+02	MYC;ILK;CTNNB1;PIK3R1;TP53;EGFR
KEGG_2019_Human	HIF-1 signaling pathway	7/100	4.468969e-06	5.111383e-05	0	0	1.190753e+01	1.466811e+02	RPS6KB1;SLC2A1;EP300;ARNT;PIK3R1;HIF1A;EGFR
KEGG_2019_Human	Pathogenic Escherichia coli infection	5/55	3.098372e-05	3.335306e-04	0	0	1.560472e+01	1.620090e+02	CDC42;TUBB;CTNNB1;TUBB4B;YWHAZ
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	3.319237e-05	3.374558e-04	0	0	7.136644e+00	7.360157e+01	BECN1;MYC;CTNNB1;EP300;PIK3R1;RAC1;TP53;HIF1A
KEGG_2019_Human	Focal adhesion	8/199	5.359390e-05	5.032607e-04	0	0	6.646512e+00	6.536230e+01	CDC42;CAPN2;ILK;CTNNB1;PIK3R1;RAC1;EGFR;PPP1CA
KEGG_2019_Human	Breast cancer	7/147	5.500117e-05	5.032607e-04	0	0	7.891200e+00	7.739812e+01	RPS6KB1;MYC;CTNNB1;PIK3R1;BRCA1;TP53;EGFR
KEGG_2019_Human	Hepatitis C	7/155	7.688648e-05	6.700107e-04	0	0	7.461622e+00	7.068529e+01	YWHAE;MYC;CTNNB1;PIK3R1;TP53;YWHAZ;EGFR
KEGG_2019_Human	Hippo signaling pathway	7/160	9.385093e-05	7.806691e-04	0	0	7.215948e+00	6.691928e+01	YWHAE;MYC;BIRC5;CTNNB1;NF2;YWHAZ;PPP1CA
KEGG_2019_Human	Hepatitis B	7/163	1.054143e-04	8.387312e-04	0	0	7.076103e+00	6.480020e+01	DDX3X;MYC;BIRC5;EP300;PIK3R1;TP53;YWHAZ
KEGG_2019_Human	Adherens junction	5/72	1.139356e-04	8.687590e-04	0	0	1.163533e+01	1.056473e+02	CDC42;EP300;CTNNB1;RAC1;EGFR
KEGG_2019_Human	Human cytomegalovirus infection	8/225	1.261752e-04	8.797724e-04	0	0	5.842426e+00	5.245236e+01	RPS6KB1;MYC;MDM2;CTNNB1;PIK3R1;RAC1;TP53;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	7/168	1.272468e-04	8.797724e-04	0	0	6.854609e+00	6.148161e+01	RPS6KB1;MYC;KEAP1;CTNNB1;PIK3R1;TP53;EGFR
KEGG_2019_Human	Bacterial invasion of epithelial cells	5/74	1.298025e-04	8.797724e-04	0	0	1.129693e+01	1.011018e+02	CDC42;ILK;CTNNB1;RAC1;PIK3R1
KEGG_2019_Human	Chronic myeloid leukemia	5/76	1.473091e-04	9.288857e-04	0	0	1.097760e+01	9.685510e+01	BCR;MYC;MDM2;PIK3R1;TP53
KEGG_2019_Human	Bladder cancer	4/41	1.519197e-04	9.288857e-04	0	0	1.674916e+01	1.472612e+02	MYC;MDM2;TP53;EGFR
KEGG_2019_Human	MAPK signaling pathway	9/295	1.522763e-04	9.288857e-04	0	0	5.009893e+00	4.403602e+01	CDC42;CSF1R;PPP5C;HSPA1L;MYC;HSPB1;RAC1;TP53;EGFR
KEGG_2019_Human	Apoptosis	6/143	3.762385e-04	2.221021e-03	0	0	6.858186e+00	5.407876e+01	BECN1;CAPN2;BIRC5;PIK3R1;TP53;LMNB1
KEGG_2019_Human	Gastric cancer	6/149	4.682636e-04	2.677882e-03	0	0	6.568432e+00	5.035674e+01	RPS6KB1;MYC;CTNNB1;PIK3R1;TP53;EGFR
KEGG_2019_Human	Choline metabolism in cancer	5/99	5.053587e-04	2.802444e-03	0	0	8.281957e+00	6.286206e+01	RPS6KB1;PIK3R1;RAC1;HIF1A;EGFR
KEGG_2019_Human	VEGF signaling pathway	4/59	6.229630e-04	3.323628e-03	0	0	1.125739e+01	8.309103e+01	CDC42;HSPB1;RAC1;PIK3R1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	7/219	6.356666e-04	3.323628e-03	0	0	5.192151e+00	3.821857e+01	XPO1;MYC;CDC27;SLC2A1;EP300;PIK3R1;TP53
KEGG_2019_Human	Cellular senescence	6/160	6.817193e-04	3.465406e-03	0	0	6.095857e+00	4.444424e+01	MYC;CAPN2;MDM2;PIK3R1;TP53;PPP1CA
KEGG_2019_Human	Insulin resistance	5/108	7.512908e-04	3.715844e-03	0	0	7.554851e+00	5.434746e+01	RPS6KB1;SLC2A1;PIK3R1;OGT;PPP1CA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	6/165	8.006437e-04	3.855731e-03	0	0	5.902665e+00	4.208656e+01	HSP90AA1;HSP90AB1;HSPA1L;DNAJA2;CAPN2;SYVN1
