Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	23/201	1.633671e-20	3.022292e-18	0	0	1.925183e+01	8.771302e+02	RB1;USP7;CREBBP;JUN;CDKN1A;HDAC2;CDKN1B;HDAC3;YWHAB;YWHAZ;NFKBIA;HNRNPK;CCND2;SNW1;CREB1;PKM;YWHAQ;MDM2;REL;EP300;GRB2;TP53;YWHAG
KEGG_2019_Human	Pathways in cancer	32/530	1.012581e-19	9.366379e-18	0	0	1.010716e+01	4.420530e+02	RB1;CDKN1A;HDAC2;NOTCH1;CDKN1B;HSP90AB1;BRCA2;STK4;CBL;EGFR;CCND2;CDH1;ABL1;EP300;TCF7L2;CREBBP;JUN;HSP90AA1;FOS;ESR1;PTK2;BCR;NFKBIA;AR;TRAF6;MDM2;CTNNB1;GRB2;RAF1;TP53;CRK;BCL2L1
KEGG_2019_Human	Prostate cancer	17/97	1.188880e-18	7.331426e-17	0	0	3.043524e+01	1.256169e+03	RB1;TCF7L2;CREBBP;CDKN1A;HSP90AA1;CDKN1B;HSP90AB1;EGFR;NFKBIA;AR;CREB1;MDM2;EP300;CTNNB1;GRB2;RAF1;TP53
KEGG_2019_Human	Cell cycle	17/124	9.100508e-17	4.208985e-15	0	0	2.272423e+01	8.393335e+02	RB1;CREBBP;CDKN1A;HDAC2;CDKN1B;MCM7;PRKDC;YWHAB;YWHAZ;CCND2;YWHAQ;ABL1;MDM2;EP300;MCM5;TP53;YWHAG
KEGG_2019_Human	Chronic myeloid leukemia	14/76	7.053020e-16	2.609618e-14	0	0	3.168177e+01	1.105310e+03	RB1;CDKN1A;HDAC2;CDKN1B;CBL;BCR;NFKBIA;ABL1;MDM2;GRB2;RAF1;TP53;CRK;BCL2L1
KEGG_2019_Human	Hepatitis B	17/163	9.787930e-15	3.017945e-13	0	0	1.662115e+01	5.361590e+02	RB1;CREBBP;JUN;CDKN1A;YWHAB;FOS;YWHAZ;NFKBIA;MAVS;CREB1;YWHAQ;TRAF6;EP300;GRB2;TAB1;RAF1;TP53
KEGG_2019_Human	ErbB signaling pathway	13/85	9.982170e-14	2.638145e-12	0	0	2.514173e+01	7.526274e+02	CDKN1A;JUN;CDKN1B;CBLB;CBL;EGFR;PTK2;ERBB4;ABL1;GRB2;RAF1;CRK;PAK4
KEGG_2019_Human	Hepatitis C	15/155	1.178364e-12	2.724966e-11	0	0	1.508036e+01	4.142106e+02	RB1;CDKN1A;YWHAB;YWHAZ;EGFR;NFKBIA;PPP2CA;MAVS;YWHAQ;TRAF6;CTNNB1;GRB2;RAF1;TP53;YWHAG
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	6.054810e-12	1.244600e-10	0	0	1.754724e+01	4.532483e+02	NCOA2;CREBBP;HDAC2;NOTCH1;HDAC3;ESR1;ACTB;NCOR1;MDM2;EP300;CTNNB1;RAF1;TP53
KEGG_2019_Human	Human papillomavirus infection	19/330	1.142565e-11	2.113745e-10	0	0	8.774967e+00	2.210867e+02	RB1;TCF7L2;CREBBP;CDKN1A;HDAC2;NOTCH1;CDKN1B;EGFR;PTK2;PPP2CA;CCND2;CREB1;PKM;MDM2;CTNNB1;EP300;GRB2;RAF1;TP53
KEGG_2019_Human	Hippo signaling pathway	14/160	2.710135e-11	4.557955e-10	0	0	1.339677e+01	3.259628e+02	YAP1;TCF7L2;YWHAB;YWHAZ;ACTB;PPP1CA;PPP2CA;CCND2;YWHAQ;CDH1;TP53BP2;CTNNB1;YWHAG;TP73
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	3.843767e-11	5.925808e-10	0	0	8.136304e+00	1.951247e+02	HSP90AA1;CDKN1A;CDKN1B;HSP90AB1;YWHAB;YWHAZ;EGFR;PTK2;PPP2CA;CCND2;CREB1;YWHAQ;ERBB4;MDM2;GRB2;RAF1;TP53;YWHAG;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	15/201	5.052789e-11	7.190507e-10	0	0	1.132431e+01	2.684823e+02	DDX5;CDKN1A;CAV1;CBL;ESR1;EGFR;ACTB;PTK2;PPP1CA;ERBB4;MDM2;CTNNB1;GRB2;RAF1;TP53
KEGG_2019_Human	Breast cancer	13/147	1.247180e-10	1.648060e-09	0	0	1.346663e+01	3.071060e+02	RB1;TCF7L2;JUN;CDKN1A;NOTCH1;FOS;BRCA2;ESR1;EGFR;CTNNB1;GRB2;RAF1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	14/201	5.691662e-10	7.019716e-09	0	0	1.043774e+01	2.221867e+02	RB1;USP7;JUN;CDKN1A;HDAC2;CDKN1B;NFKBIA;MAVS;CCND2;SNW1;TRAF6;MDM2;TAB1;TP53
KEGG_2019_Human	Estrogen signaling pathway	12/137	7.386605e-10	8.540761e-09	0	0	1.323860e+01	2.783573e+02	HSPA8;NCOA2;JUN;HSP90AA1;HSP90AB1;CREB1;PRKCD;GRB2;FOS;RAF1;ESR1;EGFR
KEGG_2019_Human	Measles	12/138	8.036648e-10	8.745764e-09	0	0	1.313287e+01	2.750264e+02	NFKBIA;HSPA8;JUN;MAVS;CCND2;CDKN1B;TRAF6;CBLB;FOS;TP53;TP73;BCL2L1
KEGG_2019_Human	MicroRNAs in cancer	16/299	1.535394e-09	1.578043e-08	0	0	7.956682e+00	1.614767e+02	CREBBP;CDKN1A;NOTCH1;CDKN1B;EGFR;HNRNPK;CCND2;MDM2;ABL1;EP300;MDM4;GRB2;RAF1;TP53;CRK;PAK4
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	2.177470e-09	2.120169e-08	0	0	1.396007e+01	2.784350e+02	NFKBIA;JUN;MAGED1;TRAF6;PRKCD;ABL1;GRB2;RAF1;TP53;CRK;TP73
KEGG_2019_Human	Focal adhesion	13/199	5.242855e-09	4.849641e-08	0	0	9.676170e+00	1.844897e+02	JUN;CAV1;EGFR;ACTB;PTK2;PPP1CA;CCND2;CTNNB1;GRB2;FYN;RAF1;CRK;PAK4
KEGG_2019_Human	FoxO signaling pathway	11/132	6.558629e-09	5.777840e-08	0	0	1.245202e+01	2.346270e+02	USP7;CREBBP;CDKN1A;CCND2;CDKN1B;MDM2;EP300;GRB2;RAF1;STK4;EGFR
