Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	18/124	4.470901e-20	8.002913e-18	0	0	3.228374e+01	1.438374e+03	RB1;HDAC2;PCNA;HDAC1;SMC1A;CCNA2;CCNB1;CDK4;CCNE1;MYC;RAD21;CHEK1;CDK2;MDM2;ABL1;CDK1;E2F4;SKP2
KEGG_2019_Human	Cellular senescence	19/160	1.955280e-19	1.749976e-17	0	0	2.582132e+01	1.112346e+03	RB1;PIK3R3;LIN9;PIK3R1;FOXO3;PPP1CB;CCNA2;PPP1CC;CCNB1;RBBP4;CDK4;CCNE1;MYC;CHEK1;CDK2;MDM2;CDK1;MAPK1;E2F4
KEGG_2019_Human	Viral carcinogenesis	20/201	7.306422e-19	4.359499e-17	0	0	2.133788e+01	8.910777e+02	RB1;HDAC2;HDAC3;HDAC1;STAT3;UBR4;PIK3R3;PIK3R1;CCNA2;CASP8;CDK4;CCNE1;HIST4H4;CASP3;CHEK1;CDK2;MDM2;CDK1;MAPK1;SKP2
KEGG_2019_Human	Pathways in cancer	28/530	1.032187e-18	4.619039e-17	0	0	1.149716e+01	4.761532e+02	RB1;HDAC2;NOTCH1;CTBP1;HDAC1;PIK3R3;PIK3R1;HIF1A;MAPK9;CASP8;MYC;CASP3;DVL1;ABL1;MAPK1;SKP2;NTRK1;HSP90AA1;PRKCB;STAT3;MSH6;BCR;AR;SP1;CDK4;CCNE1;CDK2;MDM2
KEGG_2019_Human	Epstein-Barr virus infection	17/201	5.598904e-15	2.004408e-13	0	0	1.732909e+01	5.686749e+02	RB1;HDAC2;HDAC1;STAT3;PIK3R3;PIK3R1;CCNA2;MAPK9;CASP8;PSMC4;CDK4;CCNE1;MYC;CASP3;CDK2;MDM2;SKP2
KEGG_2019_Human	Chronic myeloid leukemia	12/76	3.408309e-14	1.016812e-12	0	0	3.377386e+01	1.047327e+03	RB1;BCR;HDAC2;HDAC1;CTBP1;CDK4;MYC;ABL1;MDM2;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	p53 signaling pathway	11/72	6.068714e-13	1.551857e-11	0	0	3.219421e+01	9.056379e+02	CCNB1;CASP8;CCNE1;CDK4;CASP3;CHEK1;CDK2;CDK1;MDM2;MDM4;TP73
KEGG_2019_Human	Hepatitis B	14/163	1.296732e-12	2.901437e-11	0	0	1.716418e+01	4.698038e+02	RB1;PCNA;PRKCB;STAT3;PIK3R3;PIK3R1;CCNA2;MAPK9;CASP8;CCNE1;MYC;CASP3;CDK2;MAPK1
KEGG_2019_Human	Human papillomavirus infection	17/330	1.769858e-11	3.520052e-10	0	0	1.012034e+01	2.505547e+02	RB1;HDAC2;NOTCH1;HDAC1;UBR4;PIK3R3;PIK3R1;CCNA2;PPP2CA;CASP8;CDK4;CCNE1;CASP3;CDK2;DVL1;MDM2;MAPK1
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	1.260903e-10	2.257016e-09	0	0	1.866178e+01	4.253770e+02	HDAC2;NOTCH1;HDAC3;PRKCB;HDAC1;MYC;MDM2;PIK3R3;MAPK1;PIK3R1;HIF1A
KEGG_2019_Human	FoxO signaling pathway	11/132	5.116165e-10	8.325396e-09	0	0	1.618100e+01	3.461673e+02	MAPK9;CCNB1;CDK2;STAT3;SETD7;MDM2;PIK3R3;MAPK1;PIK3R1;FOXO3;SKP2
KEGG_2019_Human	Measles	11/138	8.246971e-10	1.230173e-08	0	0	1.541186e+01	3.223546e+02	HSPA8;MAPK9;CASP8;CDK4;CCNE1;CASP3;CDK2;STAT3;PIK3R3;PIK3R1;TP73
KEGG_2019_Human	Hepatitis C	11/155	2.841249e-09	3.912181e-08	0	0	1.358071e+01	2.672550e+02	RB1;PPP2CA;CASP8;CDK4;MYC;CASP3;CDK2;STAT3;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	Oocyte meiosis	10/125	4.824925e-09	6.169012e-08	0	0	1.534394e+01	2.938284e+02	PPP1CB;PPP2CA;PPP1CC;AR;CCNB1;CCNE1;CDK2;CDK1;MAPK1;SMC1A
KEGG_2019_Human	Small cell lung cancer	9/93	5.426686e-09	6.475846e-08	0	0	1.876802e+01	3.571917e+02	RB1;CCNE1;CDK4;MYC;CASP3;CDK2;PIK3R3;PIK3R1;SKP2
KEGG_2019_Human	Non-small cell lung cancer	8/66	6.495980e-09	7.267377e-08	0	0	2.398064e+01	4.520850e+02	RB1;PRKCB;CDK4;STAT3;PIK3R3;MAPK1;PIK3R1;FOXO3
KEGG_2019_Human	Prostate cancer	9/97	7.900580e-09	8.318846e-08	0	0	1.791130e+01	3.341592e+02	RB1;AR;HSP90AA1;CCNE1;CDK2;MDM2;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	9.472450e-09	9.419826e-08	0	0	1.751150e+01	3.235229e+02	CCNA2;MAPK9;CCNB1;HSP90AA1;CDK2;CDK1;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	Human cytomegalovirus infection	12/225	1.339735e-08	1.262171e-07	0	0	1.007170e+01	1.825819e+02	RB1;CASP8;PRKCB;SP1;CDK4;MYC;CASP3;STAT3;MDM2;PIK3R3;MAPK1;PIK3R1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	11/186	1.916565e-08	1.715326e-07	0	0	1.115743e+01	1.982691e+02	RB1;MAPK9;CASP8;CDK4;MYC;CASP3;STAT3;PIK3R3;MAPK1;PIK3R1;HIF1A
KEGG_2019_Human	MicroRNAs in cancer	13/299	3.677179e-08	3.134357e-07	0	0	8.170142e+00	1.398609e+02	NOTCH1;PRKCB;HDAC1;DNMT3A;STAT3;CCNE1;MYC;CASP3;MDM2;ABL1;MAPK1;MDM4;EZH2
KEGG_2019_Human	Proteoglycans in cancer	11/201	4.262830e-08	3.468394e-07	0	0	1.026875e+01	1.742684e+02	PPP1CB;PPP1CC;PRKCB;MYC;CASP3;STAT3;MDM2;PIK3R3;MAPK1;PIK3R1;HIF1A
