Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	21/137	4.329644e-22	8.789176e-20	0	0	2.858607e+01	1.406188e+03	PRKN;MAP3K1;CUL5;SMURF2;SMURF1;CUL3;CUL2;CUL1;UBE2D1;NEDD4L;WWP1;WWP2;ITCH;TRAF6;NEDD4;UBR5;UBE2N;TRIP12;STUB1;BTRC;SKP1
KEGG_2019_Human	Pathways in cancer	24/530	8.169916e-13	6.563154e-11	0	0	7.522063e+00	2.093627e+02	TCF7L2;MAP2K1;HDAC2;TGFB1;HSP90AB1;CHUK;PTCH1;CUL2;CUL1;HIF1A;EGFR;NFKBIA;MAPK9;APC;CDH1;TRAF3;CDK4;TRAF6;CTNNA1;CALM1;PRKACA;TP53;SKP1;MAPK3
KEGG_2019_Human	Hepatitis B	15/163	1.022736e-12	6.563154e-11	0	0	1.524603e+01	4.209206e+02	MAP2K1;TGFB1;MAP3K1;CHUK;YWHAB;SRC;NFKBIA;MAPK9;YWHAQ;TRAF3;TRAF6;TAB2;TAB1;TP53;MAPK3
KEGG_2019_Human	Hedgehog signaling pathway	10/47	1.293232e-12	6.563154e-11	0	0	3.938196e+01	1.078037e+03	SMURF2;CSNK1A1;SMURF1;CUL3;PTCH1;CUL1;ARRB1;ARRB2;BTRC;PRKACA
KEGG_2019_Human	Endocytosis	17/244	2.758363e-12	1.119895e-10	0	0	1.139429e+01	3.032748e+02	HSPA8;SMURF2;SMURF1;SRC;CAV1;NEDD4L;WWP1;ARRB1;ARRB2;EGFR;ITCH;UBB;HGS;TRAF6;NEDD4;STAMBP;AP2M1
KEGG_2019_Human	Epstein-Barr virus infection	14/201	2.565107e-10	8.678613e-09	0	0	1.115451e+01	2.463346e+02	HDAC2;CHUK;NFKBIA;MAPK9;PSMC5;PSMC3;TRAF3;CDK4;TRAF6;NEDD4;TAB2;TAB1;TP53;MAP3K14
KEGG_2019_Human	Endometrial cancer	9/58	3.606316e-10	1.045832e-08	0	0	2.655221e+01	5.773291e+02	TCF7L2;MAP2K1;APC;CDH1;CTNNA1;ILK;TP53;EGFR;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	5.177297e-10	1.171244e-08	0	0	1.052893e+01	2.251249e+02	MAP2K1;CUL5;CHUK;CUL1;NFKBIA;MAPK9;TRAF6;TAB2;TAB1;CALM1;BTRC;PAK5;SKP1;MAPK3
KEGG_2019_Human	MAPK signaling pathway	16/295	5.192706e-10	1.171244e-08	0	0	8.635236e+00	1.846092e+02	HSPA8;MAP2K1;TGFB1;MAP3K1;CHUK;ARRB1;ARRB2;EGFR;MAPK9;TRAF6;TAB2;TAB1;PRKACA;TP53;MAP3K14;MAPK3
KEGG_2019_Human	Mitophagy	9/65	1.036759e-09	2.104621e-08	0	0	2.322497e+01	4.804589e+02	PRKN;MAPK9;UBB;SRC;CSNK2A2;CSNK2B;AMBRA1;TP53;HIF1A
KEGG_2019_Human	Hepatitis C	12/155	1.540878e-09	2.843621e-08	0	0	1.234381e+01	2.504671e+02	NFKBIA;MAP2K1;YWHAQ;CHUK;TRAF3;CDK4;YWHAB;TRAF6;TP53;EGFR;YWHAG;MAPK3
KEGG_2019_Human	Wnt signaling pathway	12/158	1.919873e-09	3.247785e-08	0	0	1.208833e+01	2.426249e+02	RNF43;TCF7L2;MAPK9;APC;CSNK1A1;CSNK2B;CSNK2A2;CUL1;BTRC;PRKACA;TP53;SKP1
KEGG_2019_Human	Adherens junction	9/72	2.643603e-09	3.852290e-08	0	0	2.063712e+01	4.076063e+02	TCF7L2;CDH1;SRC;CSNK2A2;CSNK2B;CTNNA1;ACTB;EGFR;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	13/201	2.846520e-09	3.852290e-08	0	0	1.022468e+01	2.011928e+02	MAP2K1;DDX5;TGFB1;SRC;CAV1;PTCH1;RPS6;HIF1A;EGFR;ACTB;PRKACA;TP53;MAPK3
KEGG_2019_Human	Viral carcinogenesis	13/201	2.846520e-09	3.852290e-08	0	0	1.022468e+01	2.011928e+02	HDAC2;YWHAB;SRC;NFKBIA;HNRNPK;PKM;YWHAQ;TRAF3;CDK4;PRKACA;TP53;YWHAG;MAPK3
KEGG_2019_Human	Protein processing in endoplasmic reticulum	12/165	3.150584e-09	3.997303e-08	0	0	1.153117e+01	2.257304e+02	PRKN;HSPA8;MAPK9;VCP;HSP90AB1;RPN2;RPN1;CUL1;UBE2D1;STUB1;CAPN1;SKP1
KEGG_2019_Human	Measles	11/138	5.588784e-09	6.673666e-08	0	0	1.265658e+01	2.405066e+02	NFKBIA;HSPA8;MAPK9;CHUK;CDK4;TRAF3;TRAF6;CSNK2A2;CSNK2B;TAB2;TP53
KEGG_2019_Human	TNF signaling pathway	10/110	7.926603e-09	8.939447e-08	0	0	1.452500e+01	2.709354e+02	NFKBIA;MAPK9;MAP2K1;ITCH;CHUK;TRAF3;TAB2;TAB1;MAP3K14;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.220657e-08	1.304176e-07	0	0	1.012867e+01	1.845574e+02	NFKBIA;MAPK9;MAP2K1;UBB;CHUK;TRAF3;CDK4;SRC;CALM1;TP53;HIF1A;MAPK3
KEGG_2019_Human	Bladder cancer	7/41	1.746009e-08	1.772199e-07	0	0	2.935675e+01	5.244098e+02	MAP2K1;SRC;CDH1;CDK4;TP53;EGFR;MAPK3
KEGG_2019_Human	Cell cycle	10/124	2.528833e-08	2.310607e-07	0	0	1.273220e+01	2.227234e+02	CDK7;HDAC2;TGFB1;YWHAQ;CDK4;YWHAB;CUL1;TP53;YWHAG;SKP1
KEGG_2019_Human	IL-17 signaling pathway	9/93	2.624069e-08	2.310607e-07	0	0	1.546142e+01	2.698938e+02	NFKBIA;MAPK9;HSP90AB1;CHUK;TRAF3;TRAF6;SRSF1;TAB2;MAPK3
KEGG_2019_Human	Hippo signaling pathway	11/160	2.628059e-08	2.310607e-07	0	0	1.077579e+01	1.880853e+02	YAP1;TCF7L2;TGFB1;APC;YWHAQ;CDH1;YWHAB;CTNNA1;BTRC;ACTB;YWHAG
KEGG_2019_Human	Oocyte meiosis	10/125	2.731752e-08	2.310607e-07	0	0	1.262084e+01	2.198013e+02	MAP2K1;YWHAQ;YWHAB;CUL1;BTRC;PRKACA;CALM1;YWHAG;SKP1;MAPK3
KEGG_2019_Human	NF-kappa B signaling pathway	9/95	3.166256e-08	2.483776e-07	0	0	1.510032e+01	2.607543e+02	NFKBIA;CHUK;TRAF3;TRAF6;CSNK2A2;CSNK2B;TAB2;TAB1;MAP3K14
KEGG_2019_Human	Osteoclast differentiation	10/127	3.181191e-08	2.483776e-07	0	0	1.240385e+01	2.141329e+02	NFKBIA;MAPK9;MAP2K1;TGFB1;CHUK;TRAF6;TAB2;TAB1;MAP3K14;MAPK3
KEGG_2019_Human	Relaxin signaling pathway	10/130	3.977863e-08	2.990763e-07	0	0	1.209191e+01	2.060454e+02	NFKBIA;MAPK9;MAP2K1;TGFB1;SRC;ARRB1;ARRB2;PRKACA;EGFR;MAPK3
KEGG_2019_Human	Toll-like receptor signaling pathway	9/104	7.003450e-08	5.049357e-07	0	0	1.366354e+01	2.250970e+02	NFKBIA;MAPK9;MAP2K1;CHUK;TRAF3;TRAF6;TAB2;TAB1;MAPK3
KEGG_2019_Human	Pancreatic cancer	8/75	7.423998e-08	5.049357e-07	0	0	1.712048e+01	2.810492e+02	MAPK9;MAP2K1;TGFB1;CHUK;CDK4;TP53;EGFR;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	7.462104e-08	5.049357e-07	0	0	8.499676e+00	1.394868e+02	NFKBIA;MAPK9;MAP2K1;TGFB1;MAP3K1;CHUK;CDK4;GPS2;PRKACA;TP53;MAP3K14;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	8/76	8.246632e-08	5.400214e-07	0	0	1.686786e+01	2.751296e+02	NFKBIA;MAP2K1;HDAC2;TGFB1;CHUK;CDK4;TP53;MAPK3
KEGG_2019_Human	Apoptosis	10/143	9.838641e-08	6.241388e-07	0	0	1.090281e+01	1.759099e+02	NFKBIA;MAPK9;MAP2K1;TUBA1A;CHUK;CAPN1;TP53;MAP3K14;ACTB;MAPK3
KEGG_2019_Human	Human papillomavirus infection	14/330	1.430645e-07	8.403836e-07	0	0	6.557633e+00	1.033481e+02	TCF7L2;MAP2K1;HDAC2;ITGA4;CHUK;CSNK1A1;EGFR;PKM;APC;TRAF3;CDK4;PRKACA;TP53;MAPK3
KEGG_2019_Human	Toxoplasmosis	9/113	1.439559e-07	8.403836e-07	0	0	1.247544e+01	1.965350e+02	NFKBIA;HSPA8;MAPK9;TGFB1;CHUK;TRAF6;TAB2;TAB1;MAPK3
KEGG_2019_Human	Gastric cancer	10/149	1.448937e-07	8.403836e-07	0	0	1.042901e+01	1.642284e+02	TCF7L2;MAP2K1;TGFB1;APC;CDH1;CSNK1A1;CTNNA1;TP53;EGFR;MAPK3
KEGG_2019_Human	Colorectal cancer	8/86	2.182458e-07	1.230664e-06	0	0	1.469788e+01	2.254309e+02	MAPK9;TCF7L2;MAP2K1;TGFB1;APC;TP53;EGFR;MAPK3
KEGG_2019_Human	GnRH signaling pathway	8/93	4.012804e-07	2.201619e-06	0	0	1.348269e+01	1.985813e+02	MAPK9;MAP2K1;MAP3K1;SRC;PRKACA;CALM1;EGFR;MAPK3
KEGG_2019_Human	Autophagy	9/128	4.190189e-07	2.238443e-06	0	0	1.089462e+01	1.599913e+02	MAPK9;MAP2K1;RB1CC1;TRAF6;AMBRA1;PRKACA;ATG13;HIF1A;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	10/168	4.432284e-07	2.307061e-06	0	0	9.166046e+00	1.340917e+02	TCF7L2;MAP2K1;TGFB1;APC;CSNK1A1;CDK4;TP53;EGFR;ACTB;MAPK3
KEGG_2019_Human	Shigellosis	7/65	4.672215e-07	2.371149e-06	0	0	1.718829e+01	2.505445e+02	NFKBIA;MAPK9;CHUK;SRC;BTRC;ACTB;MAPK3
KEGG_2019_Human	Tight junction	10/170	4.943869e-07	2.447818e-06	0	0	9.050551e+00	1.314135e+02	MAPK9;MYL6;MAP3K1;TUBA1A;CDK4;SRC;NEDD4;NEDD4L;PRKACA;ACTB
KEGG_2019_Human	Prostate cancer	8/97	5.556428e-07	2.685607e-06	0	0	1.287412e+01	1.854278e+02	NFKBIA;TCF7L2;MAP2K1;HSP90AB1;CHUK;TP53;EGFR;MAPK3
KEGG_2019_Human	Spliceosome	9/134	6.179145e-07	2.917131e-06	0	0	1.036853e+01	1.482379e+02	EFTUD2;PRPF4;HSPA8;DDX5;SF3B2;HNRNPK;SF3B3;SRSF1;SF3B1
KEGG_2019_Human	T cell receptor signaling pathway	8/101	7.581743e-07	3.497940e-06	0	0	1.231791e+01	1.735883e+02	NFKBIA;MAPK9;MAP2K1;CHUK;CDK4;MAP3K14;PAK5;MAPK3
KEGG_2019_Human	Leishmaniasis	7/74	1.143416e-06	5.158076e-06	0	0	1.487265e+01	2.034800e+02	NFKBIA;TGFB1;ITGA4;TRAF6;TAB2;TAB1;MAPK3
KEGG_2019_Human	Focal adhesion	10/199	2.077230e-06	9.166905e-06	0	0	7.650560e+00	1.001036e+02	MAPK9;MAP2K1;ITGA4;SRC;CAV1;ILK;EGFR;ACTB;PAK5;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	2.173959e-06	9.389651e-06	0	0	1.059903e+01	1.382004e+02	MAP2K1;HDAC2;SRC;PRKACA;TP53;HIF1A;ACTB;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	2.634746e-06	1.114278e-05	0	0	1.031101e+01	1.324627e+02	NFKBIA;MAPK9;MAP2K1;MAP3K1;TRAF6;CALM1;TP53;MAPK3
KEGG_2019_Human	Cellular senescence	9/160	2.717428e-06	1.125792e-05	0	0	8.571905e+00	1.098560e+02	MAP2K1;TGFB1;MRE11;CDK4;CAPN1;CALM1;BTRC;TP53;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	10/225	6.202963e-06	2.518403e-05	0	0	6.716484e+00	8.053389e+01	NFKBIA;MAP2K1;CHUK;CDK4;SRC;CALM1;PRKACA;TP53;EGFR;MAPK3
KEGG_2019_Human	NOD-like receptor signaling pathway	9/178	6.499856e-06	2.587198e-05	0	0	7.651924e+00	9.139252e+01	NFKBIA;MAPK9;HSP90AB1;CHUK;TRAF3;TRAF6;TAB2;TAB1;MAPK3
KEGG_2019_Human	Thyroid cancer	5/37	6.988493e-06	2.728200e-05	0	0	2.196587e+01	2.607622e+02	TCF7L2;MAP2K1;CDH1;TP53;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	8/137	7.519963e-06	2.880288e-05	0	0	8.864173e+00	1.045791e+02	HSPA8;MAP2K1;HSP90AB1;SRC;PRKACA;CALM1;EGFR;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	7.909515e-06	2.973392e-05	0	0	1.437893e+01	1.689157e+02	MAP2K1;PKM;TP53;HIF1A;EGFR;MAPK3
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	8.367124e-06	3.088229e-05	0	0	8.727957e+00	1.020403e+02	MAPK9;HSP90AB1;CHUK;SRC;CAV1;CALM1;TP53;ACTB
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	6/68	1.029447e-05	3.731744e-05	0	0	1.368111e+01	1.571125e+02	NFKBIA;MAPK9;CHUK;SRC;MAP3K14;EGFR
