Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	16/137	1.406937e-15	2.349585e-13	0	0	2.157448e+01	7.377904e+02	UBE2I;SMURF2;SMURF1;MGRN1;CUL3;CUL2;CUL1;NEDD4L;WWP1;UBE2L6;WWP2;PRPF19;PML;ITCH;NEDD4;BTRC
KEGG_2019_Human	Hedgehog signaling pathway	10/47	6.803738e-13	5.681121e-11	0	0	4.219196e+01	1.182055e+03	GRK2;CCND1;SMURF2;CSNK1A1;SMURF1;CUL3;PTCH1;CUL1;ARRB2;BTRC
KEGG_2019_Human	Wnt signaling pathway	14/158	4.221743e-12	2.350103e-10	0	0	1.558638e+01	4.082194e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CSNK1A1;CSNK2A2;CUL1;APC;CCND1;MYC;RUVBL1;ROR2;BTRC
KEGG_2019_Human	Proteasome	8/45	6.867264e-10	2.867083e-08	0	0	3.323025e+01	7.011279e+02	PSMA6;PSMD12;PSMC5;PSMD11;PSMA4;PSMC3;PSMA1;PSMD1
KEGG_2019_Human	Epstein-Barr virus infection	13/201	1.297665e-09	4.334203e-08	0	0	1.097182e+01	2.245130e+02	PSMD12;PSMD11;DDX58;HLA-B;TYK2;RUNX3;PSMC5;PSMC3;CCND1;MYC;NEDD4;PSMD1;VIM
KEGG_2019_Human	Hippo signaling pathway	10/160	1.553691e-07	4.324441e-06	0	0	1.034803e+01	1.622309e+02	YAP1;SOX2;TCF7L2;TGFB1;APC;CCND1;MYC;BTRC;TEAD1;SMAD7
KEGG_2019_Human	Endocytosis	11/244	9.750023e-07	2.326077e-05	0	0	7.355065e+00	1.018002e+02	ITCH;GRK2;SMURF2;SMURF1;NEDD4;HLA-B;NEDD4L;WWP1;ARRB2;PML;EGFR
KEGG_2019_Human	TGF-beta signaling pathway	7/90	2.823268e-06	5.893572e-05	0	0	1.283225e+01	1.639656e+02	CREBBP;TGFB1;SMURF2;SMURF1;MYC;CUL1;SMAD7
KEGG_2019_Human	Pathways in cancer	15/530	3.650387e-06	6.773496e-05	0	0	4.619131e+00	5.783465e+01	TCF7L2;CREBBP;TGFB1;CTBP2;CTBP1;PTCH1;CUL2;CUL1;TRAF1;PML;EGFR;AR;APC;CCND1;MYC
KEGG_2019_Human	Prostate cancer	7/97	4.665099e-06	7.790715e-05	0	0	1.183000e+01	1.452180e+02	AR;CREB3;TCF7L2;CREBBP;CCND1;ERG;EGFR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	2.047423e-05	3.108361e-04	0	0	6.580246e+00	7.104259e+01	CREB3;VAC14;CREBBP;TGFB1;CCND1;MYC;SRF;HLA-B;RAN
KEGG_2019_Human	Colorectal cancer	6/86	2.776009e-05	3.863280e-04	0	0	1.132615e+01	1.188329e+02	TCF7L2;TGFB1;CCND1;APC;MYC;EGFR
KEGG_2019_Human	Endometrial cancer	5/58	4.798180e-05	6.163816e-04	0	0	1.415809e+01	1.407978e+02	TCF7L2;CCND1;APC;MYC;EGFR
KEGG_2019_Human	Viral carcinogenesis	8/201	7.478941e-05	8.441356e-04	0	0	6.320440e+00	6.004946e+01	CREB3;VAC14;CREBBP;CCND1;HIST4H4;SRF;HLA-B;TRAF1
KEGG_2019_Human	Gastric cancer	7/149	7.582056e-05	8.441356e-04	0	0	7.478169e+00	7.094644e+01	TCF7L2;TGFB1;APC;CCND1;CSNK1A1;MYC;EGFR
KEGG_2019_Human	Human papillomavirus infection	10/330	9.406462e-05	9.817995e-04	0	0	4.808809e+00	4.458501e+01	CREB3;TCF7L2;CREBBP;APC;CCND1;ITGA4;CSNK1A1;HLA-B;TYK2;EGFR
KEGG_2019_Human	Cellular senescence	7/160	1.184723e-04	1.163817e-03	0	0	6.936652e+00	6.271309e+01	CCNB1;TGFB1;CCND1;MYC;HLA-B;BTRC;FOXM1
KEGG_2019_Human	Adherens junction	5/72	1.357006e-04	1.259000e-03	0	0	1.119177e+01	9.966337e+01	TCF7L2;CREBBP;CSNK2A1;CSNK2A2;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	7/168	1.603540e-04	1.409427e-03	0	0	6.589298e+00	5.757812e+01	TCF7L2;TGFB1;APC;CCND1;CSNK1A1;MYC;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	5/76	1.753053e-04	1.463799e-03	0	0	1.055911e+01	9.132557e+01	TGFB1;CCND1;CTBP2;CTBP1;MYC
KEGG_2019_Human	Cell cycle	6/124	2.132361e-04	1.695734e-03	0	0	7.663993e+00	6.478458e+01	CCNB1;CREBBP;TGFB1;CCND1;MYC;CUL1
KEGG_2019_Human	FoxO signaling pathway	6/132	2.990096e-04	2.171221e-03	0	0	7.174482e+00	5.822117e+01	CCNB1;CREBBP;TGFB1;CCND1;PRMT1;EGFR
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	2.990304e-04	2.171221e-03	0	0	5.921272e+00	4.805092e+01	TLX3;FUS;MYC;TRAF1;ERG;PML;MEN1
KEGG_2019_Human	NF-kappa B signaling pathway	5/95	4.955999e-04	3.448550e-03	0	0	8.321970e+00	6.332804e+01	UBE2I;CSNK2A1;DDX58;CSNK2A2;TRAF1
KEGG_2019_Human	Breast cancer	6/147	5.309381e-04	3.546667e-03	0	0	6.406367e+00	4.830955e+01	TCF7L2;APC;CCND1;CSNK1A1;MYC;EGFR
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	5/101	6.557143e-04	4.211703e-03	0	0	7.799479e+00	5.716851e+01	FBL;CSNK2A1;CSNK2A2;GAR1;RAN
KEGG_2019_Human	Cushing syndrome	6/155	7.016971e-04	4.340127e-03	0	0	6.059942e+00	4.400735e+01	CREB3;TCF7L2;APC;CCND1;EGFR;MEN1
KEGG_2019_Human	Hepatitis B	6/163	9.121941e-04	5.440586e-03	0	0	5.748821e+00	4.023978e+01	CREB3;CREBBP;TGFB1;DDX58;MYC;TYK2
KEGG_2019_Human	Mitophagy	4/65	1.032205e-03	5.944080e-03	0	0	9.763096e+00	6.713161e+01	USP15;CSNK2A1;CSNK2A2;ULK1
KEGG_2019_Human	Acute myeloid leukemia	4/66	1.093021e-03	6.084483e-03	0	0	9.605142e+00	6.549564e+01	TCF7L2;CCND1;MYC;PML
KEGG_2019_Human	Thyroid cancer	3/37	2.060414e-03	1.109965e-02	0	0	1.305685e+01	8.075463e+01	TCF7L2;CCND1;MYC
KEGG_2019_Human	Measles	5/138	2.624147e-03	1.369477e-02	0	0	5.619162e+00	3.339467e+01	CCND1;CSNK2A1;DDX58;CSNK2A2;TYK2
KEGG_2019_Human	Bladder cancer	3/41	2.770981e-03	1.402284e-02	0	0	1.168009e+01	6.877882e+01	CCND1;MYC;EGFR
