Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	22/124	8.052862e-26	8.611527e-24	0	0	3.984955e+01	2.302554e+03	RB1;HDAC2;ANAPC7;HDAC1;CUL1;ANAPC10;CCNA2;CCNA1;CCNB1;CCND2;CCNE2;CCNE1;CDK4;CHEK2;MYC;CDK2;ABL1;CDK1;ANAPC4;ANAPC5;E2F3;SKP2
KEGG_2019_Human	Pathways in cancer	35/530	9.463216e-26	8.611527e-24	0	0	1.457468e+01	8.397903e+02	RB1;HDAC2;NOTCH1;CTBP1;HDAC1;CUL1;PTEN;PIK3R3;PIK3R1;FOXO1;CRKL;CASP9;CASP7;CCND2;CASP8;CDH1;MYC;CASP3;ABL1;MAPK1;E2F3;SKP2;NTRK1;STAT3;ESR2;BCR;AR;CCNA1;CCNE2;CDK4;CCNE1;CDK2;FAS;GRB2;CALM1
KEGG_2019_Human	Cellular senescence	22/160	2.910471e-23	1.765686e-21	0	0	2.940038e+01	1.525619e+03	RB1;PTEN;PIK3R3;PIK3R1;FOXO1;PPP1CB;CCNA2;PPP1CC;CCNA1;CCNB1;CCND2;RBBP4;CCNE2;CDK4;CCNE1;CHEK2;MYC;CDK2;CDK1;MAPK1;E2F3;CALM1
KEGG_2019_Human	Viral carcinogenesis	23/201	2.070265e-22	7.535764e-21	0	0	2.400567e+01	1.198584e+03	RB1;HDAC2;HDAC3;HDAC1;STAT3;PIK3R3;PIK3R1;CCNA2;CCNA1;CCND2;SNW1;CASP8;IRF3;CCNE2;CDK4;CCNE1;HIST4H4;CASP3;CDK2;CDK1;MAPK1;GRB2;SKP2
KEGG_2019_Human	Epstein-Barr virus infection	23/201	2.070265e-22	7.535764e-21	0	0	2.400567e+01	1.198584e+03	RB1;HDAC2;HDAC1;STAT3;PIK3R3;PIK3R1;CCNA2;CASP9;CCNA1;CCND2;SNW1;CASP8;IRF3;CCNE2;PSMC4;CDK4;CCNE1;MYC;CASP3;CDK2;FAS;E2F3;SKP2
KEGG_2019_Human	p53 signaling pathway	15/72	5.101385e-19	1.547420e-17	0	0	4.573869e+01	1.926495e+03	PTEN;CASP9;CCNB1;CASP8;CCND2;CCNE2;CCNE1;CDK4;CHEK2;CASP3;CDK2;CDK1;FAS;MDM4;TP73
KEGG_2019_Human	Oocyte meiosis	17/125	4.351732e-18	1.131450e-16	0	0	2.777538e+01	1.110347e+03	ANAPC7;CUL1;ANAPC10;INS;PPP1CB;PPP2CA;PPP1CC;AR;CCNB1;CCNE2;CCNE1;CDK2;CDK1;ANAPC4;MAPK1;ANAPC5;CALM1
KEGG_2019_Human	Hepatitis B	18/163	1.958329e-17	4.455199e-16	0	0	2.206076e+01	8.487185e+02	RB1;STAT3;PIK3R3;PIK3R1;CCNA2;CASP9;CCNA1;CASP8;IRF3;CCNE2;CCNE1;MYC;CASP3;CDK2;FAS;MAPK1;E2F3;GRB2
KEGG_2019_Human	Chronic myeloid leukemia	14/76	5.127423e-17	1.036879e-15	0	0	3.889565e+01	1.458950e+03	RB1;HDAC2;HDAC1;CTBP1;PIK3R3;PIK3R1;CRKL;BCR;CDK4;MYC;ABL1;MAPK1;E2F3;GRB2
KEGG_2019_Human	Human papillomavirus infection	22/330	2.212184e-16	3.763873e-15	0	0	1.305941e+01	4.707576e+02	RB1;HDAC2;NOTCH1;HDAC1;PTEN;PIK3R3;PIK3R1;FOXO1;CCNA2;PPP2CA;CCNA1;CCND2;CASP8;IRF3;CCNE2;CDK4;CCNE1;CASP3;CDK2;FAS;MAPK1;GRB2
