Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Estrogen signaling pathway	19/137	3.828060e-22	7.043630e-20	0	0	3.746580e+01	1.847608e+03	SHC4;HSP90AA1;SHC3;HSP90AB1;SHC1;SRC;PIK3R1;HSPA2;ESR1;EGFR;GNAI1;HSP90B1;GNAI2;CREB1;KRAS;CALM1;HRAS;HSPA1A;FKBP5
KEGG_2019_Human	Pathways in cancer	27/530	1.360310e-19	1.251485e-17	0	0	1.351917e+01	5.872918e+02	RET;NOTCH3;HSP90AB1;CUL1;PTEN;PIK3R1;CBL;ETS1;EGFR;GNAI1;HSP90B1;CRKL;GNAI2;CASP8;CDH1;CASP3;ERBB2;PLCG1;IKBKG;HRAS;CAMK2G;NTRK1;HSP90AA1;ESR1;CTNNB1;KRAS;CALM1
KEGG_2019_Human	ErbB signaling pathway	14/85	1.196284e-17	7.252950e-16	0	0	4.343505e+01	1.692435e+03	SHC4;SHC3;SHC1;SRC;GAB1;PIK3R1;CBL;EGFR;CRKL;ERBB2;KRAS;PLCG1;HRAS;CAMK2G
KEGG_2019_Human	Proteoglycans in cancer	18/201	1.576728e-17	7.252950e-16	0	0	2.254632e+01	8.722855e+02	SRC;CAV1;GAB1;FRS2;PTPN11;PIK3R1;CBL;ESR1;EGFR;GPC1;CASP3;ERBB2;CTNNB1;FLNB;KRAS;PLCG1;HRAS;CAMK2G
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	1.613073e-15	5.936107e-14	0	0	2.932000e+01	9.986578e+02	SHC4;NTRK1;SHC3;SHC1;GAB1;FRS2;PTPN11;PIK3R1;CRKL;KRAS;PLCG1;CALM1;HRAS;CAMK2G
KEGG_2019_Human	Bacterial invasion of epithelial cells	12/74	3.415639e-15	1.021285e-13	0	0	4.172651e+01	1.389927e+03	SHC4;SHC3;CDH1;SHC1;SRC;CAV1;GAB1;CTNNB1;PIK3R1;CBL;BCAR1;CRKL
KEGG_2019_Human	Ras signaling pathway	17/232	3.885325e-15	1.021285e-13	0	0	1.788704e+01	5.935199e+02	SHC4;NTRK1;SHC3;SHC1;GAB1;PTPN11;PIK3R1;ETS1;EGFR;RASA1;NF1;KRAS;PLCG1;IKBKG;CALM1;HRAS;EPHA2
KEGG_2019_Human	Prostate cancer	12/97	1.006023e-13	2.313854e-12	0	0	3.040051e+01	9.098144e+02	HSP90AA1;HSP90AB1;CREB1;ERBB2;PTEN;CTNNB1;KRAS;PIK3R1;IKBKG;HRAS;EGFR;HSP90B1
KEGG_2019_Human	Glioma	11/75	1.623368e-13	3.318885e-12	0	0	3.665188e+01	1.079365e+03	SHC4;SHC3;SHC1;PTEN;KRAS;PIK3R1;PLCG1;CALM1;HRAS;CAMK2G;EGFR
KEGG_2019_Human	Rap1 signaling pathway	15/206	1.988265e-13	3.658408e-12	0	0	1.738779e+01	5.085292e+02	SRC;CTNND1;PIK3R1;EGFR;GNAI1;CRKL;GNAI2;CDH1;CTNNB1;KRAS;PLCG1;CALM1;HRAS;BCAR1;EPHA2
KEGG_2019_Human	Human cytomegalovirus infection	15/225	7.212196e-13	1.206404e-11	0	0	1.579936e+01	4.417158e+02	SRC;PIK3R1;EGFR;GNAI1;CRKL;GNAI2;CREB1;CASP8;CASP3;CTNNB1;KRAS;IKBKG;CALM1;HRAS;BCAR1
KEGG_2019_Human	Focal adhesion	14/199	2.134524e-12	3.272937e-11	0	0	1.657381e+01	4.453844e+02	SHC4;SHC3;SHC1;SRC;CAV1;PTEN;PIK3R1;EGFR;CRKL;ERBB2;CTNNB1;FLNB;HRAS;BCAR1
KEGG_2019_Human	Relaxin signaling pathway	12/130	3.533388e-12	5.001104e-11	0	0	2.186220e+01	5.764791e+02	SHC4;CREB1;SHC3;SHC1;SRC;KRAS;ARRB1;PIK3R1;HRAS;EGFR;GNAI1;GNAI2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	5.045529e-12	6.631267e-11	0	0	1.547542e+01	4.025547e+02	FBXW11;CUL1;PIK3R1;GNAI1;CRKL;GNAI2;CASP8;CASP3;CFL1;KRAS;PLCG1;IKBKG;CALM1;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	10/76	6.666745e-12	8.177874e-11	0	0	3.196325e+01	8.225387e+02	SHC4;SHC3;SHC1;PTPN11;KRAS;IKBKG;PIK3R1;CBL;HRAS;CRKL
KEGG_2019_Human	Breast cancer	12/147	1.528236e-11	1.757471e-10	0	0	1.909275e+01	4.754921e+02	SHC4;NOTCH3;SHC3;SHC1;ERBB2;PTEN;CTNNB1;KRAS;PIK3R1;ESR1;HRAS;EGFR
KEGG_2019_Human	Chemokine signaling pathway	13/190	1.953472e-11	2.114346e-10	0	0	1.591525e+01	3.924515e+02	SHC4;SHC3;SHC1;SRC;ARRB1;PIK3R1;GNAI1;CRKL;GNAI2;KRAS;IKBKG;HRAS;BCAR1
KEGG_2019_Human	MAPK signaling pathway	15/295	3.504146e-11	3.582016e-10	0	0	1.180738e+01	2.842567e+02	NTRK1;ARRB1;HSPA2;EGFR;CRKL;RASA1;CASP3;ERBB2;NF1;FLNB;KRAS;IKBKG;HRAS;HSPA1A;EPHA2
KEGG_2019_Human	Viral carcinogenesis	13/201	3.966734e-11	3.841469e-10	0	0	1.497568e+01	3.586750e+02	SRC;EIF2AK2;CHD4;PIK3R1;HDAC6;CREB1;CASP8;PKM;CASP3;DNAJA3;KRAS;IKBKG;HRAS
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	4.903933e-11	4.511619e-10	0	0	3.356391e+01	7.967535e+02	RET;NTRK1;PKM;ERBB2;PTEN;KRAS;PIK3R1;HRAS;EGFR
KEGG_2019_Human	Adherens junction	9/72	1.267127e-10	1.110245e-09	0	0	2.982406e+01	6.796634e+02	CDH1;SRC;CTNND1;ERBB2;CTNNB1;PTPRJ;ACP1;PTPRF;EGFR
KEGG_2019_Human	Insulin signaling pathway	11/137	1.345824e-10	1.125598e-09	0	0	1.855863e+01	4.218162e+02	SHC4;SHC3;SHC1;KRAS;PIK3R1;CALM1;CBL;EIF4E;HRAS;PTPRF;CRKL
