Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	30/530	1.144520e-20	2.289040e-18	0	0	1.236766e+01	5.678823e+02	HSP90AB1;CUL1;PTEN;PIK3CD;PIK3R2;PIK3CB;GLI1;EGFR;GNAI1;GNAI2;CDC42;CCND2;CDH1;MYC;RAC2;MAPK1;RAC1;PDGFRB;PDGFRA;HSP90AA1;STAT3;ESR1;ESR2;RHOA;PIK3CA;CCNE2;TRAF3;CDK2;KRAS;CALM1
KEGG_2019_Human	Rap1 signaling pathway	21/206	7.790777e-20	7.790777e-18	0	0	2.170092e+01	9.548135e+02	PDGFRB;MAP2K3;PDGFRA;PIK3CD;PIK3R2;PIK3CB;EGFR;RHOA;GNAI1;INS;GNAI2;CDC42;PIK3CA;CDH1;RAPGEF1;RAC2;MAPK1;KRAS;RAC1;CALM1;RAPGEF4
KEGG_2019_Human	Ras signaling pathway	21/232	9.386515e-19	6.257677e-17	0	0	1.900175e+01	7.887596e+02	PDGFRB;PDGFRA;KSR1;RRAS2;PIK3CD;PIK3R2;PIK3CB;EGFR;RHOA;INS;CDC42;PIK3CA;RASA1;RASA2;NF1;RAC2;MAPK1;KRAS;RAC1;RIN1;CALM1
KEGG_2019_Human	Prostate cancer	15/97	3.248855e-17	1.624428e-15	0	0	3.321884e+01	1.261175e+03	PDGFRB;PDGFRA;HSP90AA1;HSP90AB1;PTEN;PIK3CD;PIK3R2;PIK3CB;EGFR;INS;CCNE2;PIK3CA;CDK2;MAPK1;KRAS
KEGG_2019_Human	Viral carcinogenesis	18/201	4.092952e-16	1.637181e-14	0	0	1.827374e+01	6.474769e+02	STAT3;EIF2AK2;PIK3CD;PIK3R2;PIK3CB;RHOA;HDAC6;CDC42;KAT2B;CCND2;PIK3CA;CCNE2;TRAF3;RASA2;CDK2;MAPK1;KRAS;RAC1
KEGG_2019_Human	Central carbon metabolism in cancer	12/65	5.713664e-15	1.659163e-13	0	0	4.007345e+01	1.314245e+03	PDGFRB;PDGFRA;PDHA1;PIK3CA;MYC;PTEN;PIK3CD;MAPK1;PIK3R2;KRAS;PIK3CB;EGFR
KEGG_2019_Human	Focal adhesion	17/199	6.260536e-15	1.659163e-13	0	0	1.719205e+01	5.622576e+02	PDGFRB;PDGFRA;CAV1;PTEN;PIK3CD;PIK3R2;PIK3CB;EGFR;RHOA;CDC42;CCND2;PIK3CA;RAPGEF1;RAC2;FLNA;MAPK1;RAC1
KEGG_2019_Human	Estrogen signaling pathway	15/137	6.636653e-15	1.659163e-13	0	0	2.228230e+01	7.274317e+02	HSPA8;HSP90AA1;HSP90AB1;PIK3CD;PIK3R2;PIK3CB;ESR1;EGFR;ESR2;GNAI1;GNAI2;PIK3CA;MAPK1;KRAS;CALM1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	13/99	4.148449e-14	9.218775e-13	0	0	2.695056e+01	8.304398e+02	HSP90AA1;HSP90AB1;PIK3CD;PIK3R2;PIK3CB;ANAPC10;GNAI1;INS;GNAI2;PIK3CA;CDK2;MAPK1;KRAS
KEGG_2019_Human	FoxO signaling pathway	14/132	8.659444e-14	1.731889e-12	0	0	2.131063e+01	6.409714e+02	STAT3;IRS4;PTEN;PIK3CD;PIK3R2;PIK3CB;EGFR;INS;CCND2;PIK3CA;CDK2;CAT;MAPK1;KRAS
KEGG_2019_Human	Proteoglycans in cancer	16/201	1.245117e-13	2.263849e-12	0	0	1.576857e+01	4.685532e+02	CAV1;STAT3;RRAS2;PIK3CD;PIK3R2;PIK3CB;ESR1;EGFR;RHOA;CDC42;PIK3CA;MYC;FLNA;MAPK1;KRAS;RAC1
KEGG_2019_Human	MAPK signaling pathway	18/295	3.272980e-13	5.454966e-12	0	0	1.201492e+01	3.454037e+02	PDGFRB;MAP2K3;PDGFRA;HSPA8;RRAS2;ARRB1;EGFR;INS;CDC42;MYC;RASA1;RASA2;NF1;RAC2;FLNA;MAPK1;KRAS;RAC1
KEGG_2019_Human	Phospholipase D signaling pathway	14/148	4.284178e-13	6.591043e-12	0	0	1.875088e+01	5.340003e+02	PDGFRB;PDGFRA;RRAS2;PIK3CD;PIK3R2;PIK3CB;DGKZ;EGFR;RHOA;INS;PIK3CA;MAPK1;KRAS;RAPGEF4
KEGG_2019_Human	Prolactin signaling pathway	11/70	5.261268e-13	7.516098e-12	0	0	3.269642e+01	9.244334e+02	CCND2;PIK3CA;STAT3;PIK3CD;MAPK1;PIK3R2;KRAS;PIK3CB;ESR1;ESR2;INS
KEGG_2019_Human	Human cytomegalovirus infection	16/225	7.155585e-13	9.090732e-12	0	0	1.394081e+01	3.898647e+02	PDGFRA;STAT3;PIK3CD;PIK3R2;PIK3CB;EGFR;RHOA;GNAI1;GNAI2;PIK3CA;MYC;RAC2;MAPK1;KRAS;RAC1;CALM1
