Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	15/124	1.861456e-15	2.349333e-13	0	0	2.450409e+01	8.311155e+02	SMAD2;CREBBP;SMAD4;HDAC2;SMAD3;ANAPC7;CUL1;ANAPC10;FZR1;CCND2;CCNE2;CDK4;MYC;CDK2;E2F5
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	2.499290e-15	2.349333e-13	0	0	1.631260e+01	5.484749e+02	SMAD2;CREBBP;SMAD4;SMAD3;ANAPC7;PTEN;ANAPC10;RELB;CCND2;CREB1;XPO1;CCNE2;CDK4;MYC;CDK2;AKT1;MAPK1;HRAS
KEGG_2019_Human	Cellular senescence	16/160	4.396927e-15	2.755408e-13	0	0	1.992929e+01	6.588200e+02	SMAD2;SMAD3;PTEN;RRAS2;FOXO3;CCND2;CCNE2;CDK4;MYC;CDK2;AKT1;MAPK1;CALM1;E2F5;BTRC;HRAS
KEGG_2019_Human	Pathways in cancer	24/530	2.772098e-14	1.302886e-12	0	0	9.006278e+00	2.811452e+02	SMAD2;CREBBP;SMAD4;HDAC2;SMAD3;CUL1;PTEN;ESR1;EGFR;CRKL;CCND2;CASP8;CCNE2;CDH1;SP1;CDK4;MYC;CDK2;RAC2;AKT1;MAPK1;CALM1;HRAS;CAMK2G
KEGG_2019_Human	FoxO signaling pathway	13/132	2.241158e-12	8.426753e-11	0	0	1.909831e+01	5.122937e+02	SMAD2;USP7;CREBBP;SMAD4;SMAD3;PTEN;FOXO3;EGFR;CCND2;CDK2;AKT1;MAPK1;HRAS
KEGG_2019_Human	Viral carcinogenesis	14/201	3.495465e-11	1.095246e-09	0	0	1.315976e+01	3.168471e+02	USP7;CREBBP;HDAC2;CHD4;CCND2;CREB1;CASP8;CCNE2;CDK4;HIST4H4;DNAJA3;CDK2;MAPK1;HRAS
KEGG_2019_Human	Ubiquitin mediated proteolysis	12/137	6.558896e-11	1.761532e-09	0	0	1.663074e+01	3.899511e+02	PIAS4;FZR1;UBE2I;ANAPC7;CUL1;WWP1;BRCA1;UBE2Z;BTRC;ANAPC10;UBE2L3;PIAS1
KEGG_2019_Human	TGF-beta signaling pathway	10/90	2.563267e-10	6.023678e-09	0	0	2.132974e+01	4.710581e+02	SMAD2;CREBBP;SMAD4;BMPR2;SMAD3;SP1;MYC;CUL1;MAPK1;E2F5
KEGG_2019_Human	Hepatitis B	12/163	4.988145e-10	1.041968e-08	0	0	1.374904e+01	2.944878e+02	SMAD2;CREBBP;SMAD4;SMAD3;CREB1;CASP8;CCNE2;MYC;CDK2;AKT1;MAPK1;HRAS
KEGG_2019_Human	MicroRNAs in cancer	15/299	6.806876e-10	1.279693e-08	0	0	9.321469e+00	1.967568e+02	CREBBP;UBE2I;BMPR2;PTEN;BRCA1;EGFR;SERPINB5;CRKL;CCND2;CCNE2;MYC;MAPK1;MDM4;HRAS;EZH2
