Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Oocyte meiosis	14/125	1.216018e-14	1.288928e-12	0	0	2.494144e+01	7.991390e+02	ANAPC7;FBXW11;CUL1;ANAPC10;AURKA;INS;AR;CCNE1;ANAPC4;MAPK1;PGR;ANAPC5;CALM1;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	13/99	1.363945e-14	1.288928e-12	0	0	2.963389e+01	9.460861e+02	HSP90AA1;HSP90AB1;ANAPC7;ANAPC10;AURKA;INS;GNAI2;FZR1;ANAPC4;MAPK1;PGR;ANAPC5;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	13/137	9.853083e-13	6.207442e-11	0	0	2.051309e+01	5.671014e+02	HSPA8;HSP90AA1;HSP90AB1;NCOA3;ESR1;EGFR;GNAI2;CREB1;MAPK1;PGR;CALM1;HSPA1A;MAPK3
KEGG_2019_Human	Prostate cancer	11/97	8.320807e-12	3.931581e-10	0	0	2.458794e+01	6.272940e+02	AR;HSP90AA1;HSP90AB1;CREB1;CCNE1;PTEN;MAPK1;ERG;EGFR;INS;MAPK3
KEGG_2019_Human	Pathways in cancer	19/530	1.570110e-10	5.935015e-09	0	0	7.583170e+00	1.711878e+02	HSP90AA1;HSP90AB1;JUP;NCOA3;CUL1;PTEN;ESR1;EGFR;CRKL;GLI2;GNAI2;AR;CCND2;CASP8;CDH1;CCNE1;MAPK1;CALM1;MAPK3
KEGG_2019_Human	MAPK signaling pathway	14/295	1.414889e-09	4.456901e-08	0	0	9.767616e+00	1.990270e+02	MAP2K3;HSPA8;DAXX;ARRB1;EGFR;CRKL;INS;DDIT3;FLNA;MAPK1;MYD88;HSPA1A;MAP2K6;MAPK3
KEGG_2019_Human	Toxoplasmosis	9/113	1.678449e-08	4.531813e-07	0	0	1.630385e+01	2.918847e+02	MAP2K3;HSPA8;CASP8;MAPK1;MYD88;MAP2K6;GNAI2;MAPK3;HSPA1A
KEGG_2019_Human	Protein processing in endoplasmic reticulum	10/165	3.616651e-08	7.157090e-07	0	0	1.224007e+01	2.097353e+02	DNAJA1;HSPA8;HSP90AA1;HSP90AB1;BAG2;HSPA5;DDIT3;DNAJA2;CUL1;HSPA1A
KEGG_2019_Human	Human immunodeficiency virus 1 infection	11/212	3.628068e-08	7.157090e-07	0	0	1.045911e+01	1.791853e+02	MAP2K3;CASP8;FBXW11;CUL1;MAPK1;CALM1;MYD88;CRKL;MAP2K6;GNAI2;MAPK3
KEGG_2019_Human	Cell cycle	9/124	3.786820e-08	7.157090e-07	0	0	1.473615e+01	2.518283e+02	FZR1;CCND2;ANAPC7;CCNE1;CUL1;ANAPC4;ANAPC5;ANAPC10;MCM2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	5.060199e-08	8.694341e-07	0	0	1.010353e+01	1.697320e+02	KAT2B;CCND2;CREB1;ANAPC7;CCNE1;PTEN;ANAPC4;MAPK1;ANAPC5;ANAPC10;MAPK3
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	8.989743e-08	1.415885e-06	0	0	1.323080e+01	2.146644e+02	FZR1;COP1;ANAPC7;FBXW11;CUL1;ANAPC4;ANAPC5;ANAPC10;PIAS1
KEGG_2019_Human	Viral carcinogenesis	10/201	2.308138e-07	3.355678e-06	0	0	9.914921e+00	1.515164e+02	KAT2B;CCND2;CREB1;CASP8;CCNE1;DNAJA3;MAPK1;CHD4;HDAC6;MAPK3
KEGG_2019_Human	Hedgehog signaling pathway	6/47	2.665658e-07	3.423358e-06	0	0	2.689024e+01	4.070550e+02	CCND2;FBXW11;CUL1;SPOP;ARRB1;GLI2
KEGG_2019_Human	Antigen processing and presentation	7/77	2.808704e-07	3.423358e-06	0	0	1.851963e+01	2.793755e+02	HSPA8;HSP90AA1;HSP90AB1;CREB1;HSPA5;HSPA4;HSPA1A
KEGG_2019_Human	Rap1 signaling pathway	10/206	2.898080e-07	3.423358e-06	0	0	9.659537e+00	1.454151e+02	MAP2K3;CDH1;MAPK1;CALM1;EGFR;CRKL;MAP2K6;INS;GNAI2;MAPK3
KEGG_2019_Human	Cellular senescence	9/160	3.389379e-07	3.768192e-06	0	0	1.120246e+01	1.668881e+02	MAP2K3;CCND2;FBXW11;CCNE1;PTEN;MAPK1;CALM1;MAP2K6;MAPK3
KEGG_2019_Human	Apoptosis	8/143	1.630877e-06	1.712420e-05	0	0	1.104179e+01	1.471472e+02	DAXX;CASP8;DDIT3;LMNA;MAPK1;LMNB2;LMNB1;MAPK3
KEGG_2019_Human	Hepatitis B	8/163	4.336148e-06	4.313326e-05	0	0	9.607304e+00	1.186360e+02	MAP2K3;CREB1;CASP8;CCNE1;MAPK1;MYD88;MAP2K6;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	9/225	5.730820e-06	5.211986e-05	0	0	7.805556e+00	9.421034e+01	CREB1;CASP8;MAPK1;CALM1;EGFR;CRKL;MAP2K6;GNAI2;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	11/354	5.791096e-06	5.211986e-05	0	0	6.084888e+00	7.337881e+01	HSP90AA1;CCND2;CREB1;HSP90AB1;CCNE1;PTEN;MAPK1;EIF4E;EGFR;INS;MAPK3
KEGG_2019_Human	Influenza A	8/171	6.177432e-06	5.306976e-05	0	0	9.132075e+00	1.095357e+02	MAP2K3;HSPA8;MAPK1;MYD88;HSPA1A;KPNA1;MAP2K6;MAPK3
KEGG_2019_Human	Insulin signaling pathway	7/137	1.356799e-05	1.114935e-04	0	0	9.941912e+00	1.114269e+02	FASN;MAPK1;CALM1;EIF4E;CRKL;INS;MAPK3
KEGG_2019_Human	GnRH signaling pathway	6/93	1.529814e-05	1.156539e-04	0	0	1.264304e+01	1.401832e+02	MAP2K3;MAPK1;CALM1;EGFR;MAPK3;MAP2K6
