Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	23/160	1.140408e-24	2.166776e-22	0	0	3.096112e+01	1.706907e+03	SMAD1;GSK3B;TCF7L2;TGFB1;SMAD3;AXIN1;CSNK1D;PPP2R2A;CSNK1E;PPP1CA;SAV1;PPP2CA;PPP2CB;DLG1;APC;DLG3;PPP2R1A;CDH1;MYC;DVL1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Wnt signaling pathway	20/158	2.083903e-20	1.979708e-18	0	0	2.599736e+01	1.178135e+03	RNF43;GSK3B;TCF7L2;SMAD3;CSNK2A1;PRKCB;CTBP1;CSNK1A1;AXIN1;CSNK1E;SENP2;LRP6;APC;MYC;CSNK2B;DVL1;DVL2;DVL3;CTNNB1;RAC1
KEGG_2019_Human	Gastric cancer	17/149	1.049340e-16	6.645819e-15	0	0	2.249571e+01	8.276891e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;JUP;CSNK1A1;AXIN1;LRP6;APC;CDH1;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Human papillomavirus infection	21/330	3.368057e-15	1.599827e-13	0	0	1.219622e+01	4.064323e+02	GSK3B;TCF7L2;MAP2K1;CSNK1A1;LAMA4;PXN;AXIN1;PPP2R2A;PPP2CA;CDC42;PPP2CB;DLG1;APC;DLG3;PPP2R1A;DVL1;EIF4EBP1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	16/168	1.581791e-14	6.010806e-13	0	0	1.820683e+01	5.785701e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;PRKCB;CSNK1A1;AXIN1;LRP6;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Breast cancer	14/147	7.548150e-13	2.390247e-11	0	0	1.791016e+01	4.999139e+02	GSK3B;TCF7L2;MAP2K1;CSNK1A1;AXIN1;ESR2;LRP6;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Pathways in cancer	22/530	4.050265e-12	1.099358e-10	0	0	7.763998e+00	2.036671e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;JUP;PRKCB;CTBP1;LAMA4;AXIN1;ESR2;LRP6;CDC42;APC;CDH1;MYC;DVL1;DVL2;DVL3;CTNNB1;RAC1;MAPK3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	13/139	6.531899e-12	1.551326e-10	0	0	1.741093e+01	4.484068e+02	SMAD1;GSK3B;MAP2K1;SMAD3;AXIN1;MAPK14;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Colorectal cancer	11/86	9.214235e-12	1.945227e-10	0	0	2.439720e+01	6.199394e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;APC;MYC;AXIN1;CTNNB1;RAC1;MAPK3
KEGG_2019_Human	Adherens junction	10/72	3.612841e-11	6.864397e-10	0	0	2.662366e+01	6.401376e+02	CDC42;TCF7L2;SMAD3;CSNK2A1;CDH1;CSNK2B;CTNNB1;RAC1;IQGAP1;MAPK3
