Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	25/160	1.858390e-28	3.568108e-26	0	0	3.769187e+01	2.406726e+03	GSK3B;ACTB;SAV1;GLI2;PPP2CA;PAK1;PPP2R1A;CDH1;MYC;DVL1;TP53BP2;DVL2;DVL3;SMAD2;SMAD1;TCF7L2;TGFB1;SMAD3;FBXW11;AXIN1;AXIN2;TGFBR1;PPP1CA;APC;CTNNB1
KEGG_2019_Human	Wnt signaling pathway	19/158	1.532215e-19	1.470926e-17	0	0	2.619550e+01	1.134852e+03	RNF43;GSK3B;TCF7L2;CREBBP;SMAD3;FBXW11;CTBP1;CSNK1A1;SIAH1;AXIN1;AXIN2;APC;MYC;CSNK2B;DVL1;DVL2;DVL3;CTNNB1;EP300
KEGG_2019_Human	Gastric cancer	18/149	1.351570e-18	8.650046e-17	0	0	2.608969e+01	1.073467e+03	SMAD2;GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;CSNK1A1;AXIN1;AXIN2;TGFBR1;APC;CDH1;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Human papillomavirus infection	23/330	4.364785e-18	2.095097e-16	0	0	1.481042e+01	5.920162e+02	ATP6V1A;GSK3B;TCF7L2;CREBBP;MAP2K1;CSNK1A1;AXIN1;TSC2;PPP2R5C;AXIN2;TUBG1;NFKB1;PPP2CA;APC;PPP2R1A;DVL1;MDM2;DVL2;ATP6V1H;DVL3;CTNNB1;EP300;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	18/168	1.209516e-17	4.644542e-16	0	0	2.276308e+01	8.867067e+02	SMAD2;GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;CSNK1A1;AXIN1;AXIN2;ACTB;TGFBR1;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;MAPK3
KEGG_2019_Human	Pathways in cancer	26/530	1.279027e-16	4.092886e-15	0	0	1.041096e+01	3.809919e+02	GSK3B;EPAS1;CTBP1;GLI2;CDH1;MYC;DVL1;DVL2;DVL3;EP300;MAPK3;SMAD2;TCF7L2;CREBBP;MAP2K1;TGFB1;SMAD3;AXIN1;TRAF2;AXIN2;PML;NFKB1;TGFBR1;APC;MDM2;CTNNB1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	16/139	2.698973e-16	7.402899e-15	0	0	2.424298e+01	8.690743e+02	SMAD2;SMAD1;GSK3B;MAP2K1;SMAD3;AXIN1;PAX6;AXIN2;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;SKIL;MAPK3
KEGG_2019_Human	Colorectal cancer	13/86	5.031790e-15	1.207630e-13	0	0	3.235704e+01	1.065291e+03	SMAD2;GSK3B;TCF7L2;MAP2K1;TGFB1;SMAD3;AXIN1;AXIN2;TGFBR1;APC;MYC;CTNNB1;MAPK3
KEGG_2019_Human	Cellular senescence	15/160	5.324507e-14	1.135895e-12	0	0	1.907799e+01	5.830972e+02	SMAD2;MAP2K1;TGFB1;SMAD3;FBXW11;TSC2;FOXM1;CDC25A;NFKB1;TGFBR1;HIPK2;PPP1CA;MYC;MDM2;MAPK3
KEGG_2019_Human	TGF-beta signaling pathway	12/90	2.802095e-13	5.380022e-12	0	0	2.769231e+01	8.003974e+02	PPP2CA;SMAD2;SMAD1;CREBBP;TFDP1;TGFB1;SMAD3;PPP2R1A;MYC;EP300;TGFBR1;MAPK3
