Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	15/158	1.807836e-13	3.669906e-11	0	0	1.738526e+01	5.101092e+02	RNF43;GSK3B;SMAD3;CSNK2A1;FBXW11;CTBP1;CSNK1A1;AXIN1;CACYBP;CSNK1E;APC;MYC;CSNK2B;CTNNB1;RAC1
KEGG_2019_Human	Human papillomavirus infection	18/330	8.404768e-12	8.530839e-10	0	0	9.725133e+00	2.480125e+02	ATP6V1A;GSK3B;MAP2K1;HDAC2;CSNK1A1;PXN;HLA-B;AXIN1;PPP2R5C;TCIRG1;NFKB1;CDC42;PPP2CB;DLG1;APC;MDM2;CTNNB1;MAPK3
KEGG_2019_Human	Hippo signaling pathway	13/160	5.767535e-11	3.902699e-09	0	0	1.441204e+01	3.397811e+02	GSK3B;SMAD3;FBXW11;AXIN1;CSNK1E;ACTB;PPP1CA;PPP2CB;DLG1;APC;CDH1;MYC;CTNNB1
KEGG_2019_Human	Epstein-Barr virus infection	14/201	8.080440e-11	4.100823e-09	0	0	1.227745e+01	2.853156e+02	USP7;HDAC2;DDX58;TAP2;HLA-B;CD3D;NFKB1;TAPBP;PSMD6;PSMD4;MYC;PSMD2;MDM2;RAC1
KEGG_2019_Human	Endometrial cancer	9/58	1.672516e-10	6.790413e-09	0	0	2.911886e+01	6.555098e+02	GSK3B;MAP2K1;APC;CDH1;MYC;AXIN1;ILK;CTNNB1;MAPK3
KEGG_2019_Human	Adherens junction	9/72	1.235358e-09	4.179628e-08	0	0	2.263200e+01	4.642254e+02	CDC42;SMAD3;CSNK2A1;CDH1;CSNK2B;CTNNB1;RAC1;ACTB;MAPK3
KEGG_2019_Human	Gastric cancer	11/149	5.074474e-09	1.471597e-07	0	0	1.278473e+01	2.441761e+02	GSK3B;MAP2K1;SMAD3;APC;JUP;CDH1;CSNK1A1;MYC;AXIN1;CTNNB1;MAPK3
KEGG_2019_Human	Colorectal cancer	9/86	6.168114e-09	1.565159e-07	0	0	1.850400e+01	3.497973e+02	GSK3B;MAP2K1;SMAD3;APC;MYC;AXIN1;CTNNB1;RAC1;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	9/101	2.574057e-08	5.805928e-07	0	0	1.547530e+01	2.704340e+02	CDC42;GSK3B;MAP2K1;DLG1;NCK2;CD3D;CARD11;NFKB1;MAPK3
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	3.419171e-08	6.940917e-07	0	0	1.904762e+01	3.274530e+02	CDC42;CDH1;CAV1;PXN;ILK;CTNNB1;RAC1;ACTB
KEGG_2019_Human	Human cytomegalovirus infection	12/225	3.863220e-08	7.129396e-07	0	0	9.075502e+00	1.549114e+02	GSK3B;MAP2K1;MYC;PXN;TAP2;HLA-B;MDM2;CTNNB1;RAC1;NFKB1;TAPBP;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	8/76	4.230024e-08	7.155791e-07	0	0	1.848553e+01	3.138560e+02	MAP2K1;HDAC2;SMAD3;CTBP1;MYC;MDM2;NFKB1;MAPK3
KEGG_2019_Human	Pathways in cancer	17/530	9.788524e-08	1.426704e-06	0	0	5.481431e+00	8.846740e+01	GSK3B;MAP2K1;HDAC2;SMAD3;JUP;CTBP1;AXIN1;PML;NFKB1;CDC42;APC;CDH1;MYC;MDM2;CTNNB1;RAC1;MAPK3
KEGG_2019_Human	Focal adhesion	11/199	1.015927e-07	1.426704e-06	0	0	9.360751e+00	1.507296e+02	CDC42;GSK3B;MAP2K1;CAV1;PXN;ILK;CTNNB1;RAC1;ACTB;PPP1CA;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	11/201	1.124496e-07	1.426704e-06	0	0	9.261275e+00	1.481875e+02	CDC42;MAP2K1;MYC;CAV1;PXN;MDM2;CTNNB1;RAC1;ACTB;PPP1CA;MAPK3
KEGG_2019_Human	Viral carcinogenesis	11/201	1.124496e-07	1.426704e-06	0	0	9.261275e+00	1.481875e+02	CDC42;USP7;DLG1;HDAC2;HNRNPK;PXN;HLA-B;MDM2;RAC1;NFKB1;MAPK3
KEGG_2019_Human	Protein processing in endoplasmic reticulum	10/165	1.682590e-07	2.009210e-06	0	0	1.025546e+01	1.599623e+02	DNAJA1;HSPA8;SEC23A;UBE2D4;BAG2;HSPA5;UBE2D2;UBE2D3;RNF185;HSPA1A
KEGG_2019_Human	Hepatocellular carcinoma	10/168	1.990993e-07	2.245398e-06	0	0	1.005921e+01	1.552082e+02	GSK3B;MAP2K1;SMAD3;APC;CSNK1A1;MYC;AXIN1;CTNNB1;ACTB;MAPK3
KEGG_2019_Human	Influenza A	10/171	2.347998e-07	2.508651e-06	0	0	9.870266e+00	1.506650e+02	HSPA8;GSK3B;MAP2K1;XPO1;DDX58;PML;ACTB;NFKB1;HSPA1A;MAPK3
