Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	25/158	3.942698e-28	6.466025e-26	0	0	3.637771e+01	2.295452e+03	GSK3B;CTBP2;CTBP1;NLK;CCND1;MYC;RUVBL1;DVL1;DVL2;DVL3;TBL1X;RAC1;RNF43;TCF7L2;CREBBP;CSNK2A1;CSNK1A1;CTNNBIP1;CSNK2A2;AXIN1;CSNK1E;APC;CSNK2B;CTNNB1;PPARD
KEGG_2019_Human	Hippo signaling pathway	19/160	4.311667e-19	3.535567e-17	0	0	2.461965e+01	1.041111e+03	SMAD1;GSK3B;TCF7L2;TGFB1;AXIN1;CSNK1D;CSNK1E;SMAD7;SAV1;PPP2CA;APC;CCND1;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Pathways in cancer	25/530	3.568269e-15	1.950653e-13	0	0	9.400116e+00	3.127108e+02	GSK3B;CTBP2;EPAS1;CTBP1;LAMA4;CDC42;CCND1;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;RAC1;TCF7L2;CREBBP;TGFB1;JUP;AXIN1;TRAF1;PML;AR;APC;CTNNB1;PPARD
KEGG_2019_Human	Adherens junction	12/72	2.814158e-14	1.105892e-12	0	0	3.445739e+01	1.075123e+03	CDC42;TCF7L2;CREBBP;CSNK2A1;CDH1;CSNK2A2;CSNK2B;CTNNA1;CTNNB1;RAC1;IQGAP1;NLK
KEGG_2019_Human	Gastric cancer	15/149	3.371623e-14	1.105892e-12	0	0	1.972848e+01	6.119931e+02	GSK3B;TCF7L2;TGFB1;JUP;CSNK1A1;AXIN1;APC;CCND1;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Endometrial cancer	9/58	1.031961e-10	2.820694e-09	0	0	3.085714e+01	7.095412e+02	GSK3B;TCF7L2;CCND1;APC;CDH1;MYC;AXIN1;CTNNA1;CTNNB1
KEGG_2019_Human	Hepatocellular carcinoma	12/168	7.751271e-10	1.816012e-08	0	0	1.318863e+01	2.766710e+02	GSK3B;TCF7L2;TGFB1;APC;CCND1;CSNK1A1;MYC;DVL1;AXIN1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Breast cancer	11/147	2.487558e-09	5.099494e-08	0	0	1.376185e+01	2.726493e+02	GSK3B;TCF7L2;APC;CCND1;CSNK1A1;MYC;DVL1;AXIN1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Human papillomavirus infection	15/330	2.935732e-09	5.349556e-08	0	0	8.315476e+00	1.633684e+02	HES6;GSK3B;TCF7L2;CREBBP;CSNK1A1;LAMA4;AXIN1;PPP2CA;CDC42;APC;CCND1;DVL1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Colorectal cancer	9/86	3.839569e-09	6.296892e-08	0	0	1.960863e+01	3.799742e+02	GSK3B;TCF7L2;TGFB1;CCND1;APC;MYC;AXIN1;CTNNB1;RAC1
KEGG_2019_Human	Basal cell carcinoma	8/63	6.115421e-09	9.117537e-08	0	0	2.422368e+01	4.581292e+02	GSK3B;TCF7L2;APC;DVL1;AXIN1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	10/139	1.987764e-08	2.716611e-07	0	0	1.308156e+01	2.319841e+02	SMAD1;GSK3B;APC;MYC;DVL1;AXIN1;DVL2;DVL3;CTNNB1;PAX6
KEGG_2019_Human	Cushing syndrome	10/155	5.618887e-08	7.088442e-07	0	0	1.162865e+01	1.941350e+02	GSK3B;TCF7L2;APC;CCND1;DVL1;AXIN1;DVL2;DVL3;CTNNB1;MEN1
