Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	20/160	1.991636e-22	3.345949e-20	0	0	3.400516e+01	1.699167e+03	SMAD1;GSK3B;SMAD4;SMAD3;AXIN1;CSNK1D;CSNK1E;SMAD7;TGFBR2;PPP2CA;PAK1;DLG1;APC;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Gastric cancer	19/149	1.650358e-21	1.386301e-19	0	0	3.439313e+01	1.645825e+03	GSK3B;SMAD4;SMAD3;JUP;EGF;CSNK1A1;AXIN1;PIK3R1;TGFBR2;APC;TERT;RPS6KB1;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Wnt signaling pathway	18/158	1.647032e-19	9.223380e-18	0	0	2.988454e+01	1.292510e+03	RNF43;GSK3B;SMAD4;SMAD3;CSNK2A1;CTBP1;CSNK1A1;CTNNBIP1;AXIN1;CSNK1E;APC;MYC;CSNK2B;DVL1;DVL2;DVL3;CTNNB1;RAC1
KEGG_2019_Human	Pathways in cancer	26/530	1.398487e-18	5.873647e-17	0	0	1.299263e+01	5.341419e+02	GSK3B;EPAS1;CTBP1;PIK3R1;CDC42;TERT;CDH1;MYC;DVL1;DVL2;CTNNA1;DVL3;ITGAV;RAC1;SMAD4;HSP90AA1;SMAD3;JUP;EGF;FN1;AXIN1;TGFBR2;APC;RPS6KB1;SP1;CTNNB1
KEGG_2019_Human	Adherens junction	12/72	2.139430e-15	7.188486e-14	0	0	4.359780e+01	1.472657e+03	CDC42;SMAD4;SMAD3;CSNK2A1;CDH1;ACTN1;CSNK2B;CTNNA1;CTNNB1;RAC1;IQGAP1;TGFBR2
KEGG_2019_Human	Hepatocellular carcinoma	15/168	8.358065e-15	2.340258e-13	0	0	2.199643e+01	7.130265e+02	GSK3B;SMAD4;SMAD3;CSNK1A1;AXIN1;PIK3R1;TGFBR2;APC;TERT;RPS6KB1;MYC;DVL1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Colorectal cancer	12/86	2.007321e-14	4.817571e-13	0	0	3.532462e+01	1.114117e+03	GSK3B;SMAD4;SMAD3;APC;RPS6KB1;EGF;MYC;AXIN1;CTNNB1;RAC1;PIK3R1;TGFBR2
KEGG_2019_Human	TGF-beta signaling pathway	12/90	3.535665e-14	7.424896e-13	0	0	3.350634e+01	1.037802e+03	PPP2CA;SMAD1;SMAD4;SMAD3;SMURF2;RPS6KB1;ZFYVE9;SMURF1;SP1;MYC;TGFBR2;SMAD7
KEGG_2019_Human	Human papillomavirus infection	18/330	7.984014e-14	1.490349e-12	0	0	1.329299e+01	4.008999e+02	GSK3B;EGF;CSNK1A1;PXN;FN1;AXIN1;PIK3R1;PPP2CA;CDC42;DLG1;APC;TERT;RPS6KB1;DVL1;DVL2;DVL3;CTNNB1;ITGAV
KEGG_2019_Human	Breast cancer	13/147	6.475931e-13	1.087956e-11	0	0	2.130340e+01	5.978909e+02	GSK3B;EGF;CSNK1A1;AXIN1;PIK3R1;APC;RPS6KB1;SP1;MYC;DVL1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Endocytosis	15/244	2.018151e-12	3.082268e-11	0	0	1.463974e+01	3.942311e+02	SMAD3;SMURF2;ZFYVE9;SMURF1;CAV1;NEDD4L;ASAP1;AP2A1;AP2B1;TGFBR2;CDC42;DAB2;HGS;CAPZA2;AP2M1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	12/139	6.995706e-12	9.793989e-11	0	0	2.052782e+01	5.272719e+02	SMAD1;GSK3B;SMAD4;SMAD3;APC;MYC;DVL1;AXIN1;DVL2;DVL3;CTNNB1;PIK3R1
KEGG_2019_Human	Endometrial cancer	9/58	1.541063e-11	1.991528e-10	0	0	3.878246e+01	9.655267e+02	GSK3B;APC;CDH1;EGF;MYC;AXIN1;CTNNA1;CTNNB1;PIK3R1
KEGG_2019_Human	Focal adhesion	13/199	3.088001e-11	3.705601e-10	0	0	1.530723e+01	3.704489e+02	GSK3B;EGF;ACTN1;CAV1;PXN;FN1;PIK3R1;CDC42;PAK1;FLNA;CTNNB1;ITGAV;RAC1
KEGG_2019_Human	Proteoglycans in cancer	13/201	3.501462e-11	3.921638e-10	0	0	1.514285e+01	3.645679e+02	CAV1;PXN;FN1;PIK3R1;IQGAP1;CDC42;PAK1;RPS6KB1;MYC;FLNA;CTNNB1;ITGAV;RAC1
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	7.673438e-11	8.057110e-10	0	0	1.415412e+01	3.296589e+02	EGF;ACTN1;PXN;FN1;PIK3R1;IQGAP1;CDC42;PAK1;APC;ITGAV;RAC1;ARHGEF7;ARHGEF6
KEGG_2019_Human	Bacterial invasion of epithelial cells	9/74	1.494599e-10	1.477016e-09	0	0	2.921244e+01	6.609020e+02	CDC42;CDH1;CAV1;PXN;CTNNA1;FN1;CTNNB1;RAC1;PIK3R1
KEGG_2019_Human	Pancreatic cancer	9/75	1.691225e-10	1.578476e-09	0	0	2.876838e+01	6.472999e+02	CDC42;SMAD4;SMAD3;RPS6KB1;EGF;RAC1;PIK3R1;TGFBR2;ARHGEF6
KEGG_2019_Human	Basal cell carcinoma	7/63	3.413365e-08	3.018133e-07	0	0	2.583464e+01	4.441744e+02	GSK3B;APC;DVL1;AXIN1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Cushing syndrome	9/155	1.077414e-07	9.050282e-07	0	0	1.295242e+01	2.078025e+02	GSK3B;APC;SP1;DVL1;AXIN1;DVL2;DVL3;CTNNB1;CYP17A1
KEGG_2019_Human	Hedgehog signaling pathway	6/47	1.457091e-07	1.165673e-06	0	0	2.995625e+01	4.715609e+02	GSK3B;SMURF2;CSNK1A1;SMURF1;CSNK1D;CSNK1E
KEGG_2019_Human	Human cytomegalovirus infection	10/225	2.517590e-07	1.922523e-06	0	0	9.843461e+00	1.495694e+02	GSK3B;RPS6KB1;SP1;MYC;CCL5;PXN;CTNNB1;ITGAV;PIK3R1;RAC1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	7/100	8.453960e-07	6.175066e-06	0	0	1.552733e+01	2.171258e+02	CDC42;SMAD4;SMAD3;FN1;PIK3R1;RAC1;TGFBR2
KEGG_2019_Human	Leukocyte transendothelial migration	7/112	1.819263e-06	1.273484e-05	0	0	1.374444e+01	1.816614e+02	CDC42;ACTN1;PXN;CTNNA1;CTNNB1;PIK3R1;RAC1
KEGG_2019_Human	Chronic myeloid leukemia	6/76	2.629874e-06	1.767275e-05	0	0	1.752018e+01	2.251093e+02	SMAD4;SMAD3;CTBP1;MYC;PIK3R1;TGFBR2
