Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	18/160	9.221794e-17	1.733697e-14	0	0	1.999268e+01	7.381771e+02	GSK3B;FBXW11;YWHAB;AXIN1;CSNK1D;CSNK1E;YWHAZ;SMAD7;PPP2CA;PPP1CC;APC;MYC;DVL1;TP53BP2;DVL2;DVL3;YWHAG;TP73
KEGG_2019_Human	Human papillomavirus infection	21/330	2.418470e-14	1.721952e-12	0	0	1.088938e+01	3.414155e+02	RB1;GSK3B;CHUK;CSNK1A1;PXN;AXIN1;PTEN;RELA;PTK2;PPP2CA;CDC42;CREB1;PKM;APC;DVL1;DVL2;AKT1;DVL3;EP300;TP53;MAPK3
KEGG_2019_Human	Wnt signaling pathway	16/158	2.747796e-14	1.721952e-12	0	0	1.749141e+01	5.461760e+02	RNF43;GSK3B;JUN;CSNK2A1;FBXW11;CSNK1A1;AXIN1;CSNK1E;APC;MYC;CSNK2B;DVL1;DVL2;DVL3;EP300;TP53
KEGG_2019_Human	Viral carcinogenesis	17/201	8.290114e-14	3.896354e-12	0	0	1.442551e+01	4.345126e+02	RB1;USP7;JUN;YWHAB;SRC;PXN;YWHAZ;RELA;CDC42;HNRNPK;CREB1;PKM;CDK1;EP300;TP53;YWHAG;MAPK3
KEGG_2019_Human	Breast cancer	14/147	2.829517e-12	1.063898e-10	0	0	1.609466e+01	4.279716e+02	RB1;GSK3B;JUN;CSNK1A1;AXIN1;PTEN;APC;MYC;DVL1;DVL2;AKT1;DVL3;TP53;MAPK3
KEGG_2019_Human	Pathways in cancer	22/530	2.869158e-11	8.990027e-10	0	0	6.925197e+00	1.681051e+02	RB1;GSK3B;JUN;HSP90AB1;CHUK;AXIN1;PTEN;HIF1A;RELA;PTK2;BCR;CDC42;APC;MYC;DVL1;DVL2;AKT1;DVL3;EP300;VHL;TP53;MAPK3
KEGG_2019_Human	Hepatitis C	13/155	8.807268e-11	2.339499e-09	0	0	1.388380e+01	3.214497e+02	RB1;GSK3B;CHUK;YWHAB;YWHAZ;RELA;PIAS1;PPP2CA;MYC;AKT1;TP53;YWHAG;MAPK3
KEGG_2019_Human	Prostate cancer	11/97	9.955316e-11	2.339499e-09	0	0	1.915795e+01	4.412138e+02	RB1;GSK3B;HSP90AB1;CREB1;CHUK;PTEN;AKT1;EP300;TP53;RELA;MAPK3
KEGG_2019_Human	Cellular senescence	13/160	1.312581e-10	2.741837e-09	0	0	1.340816e+01	3.050874e+02	RB1;MRE11;FBXW11;IGFBP3;PTEN;RELA;HIPK2;PPP1CC;MYC;CDK1;AKT1;TP53;MAPK3
KEGG_2019_Human	Hepatitis B	13/163	1.656567e-10	3.114346e-09	0	0	1.313800e+01	2.958823e+02	RB1;JUN;CHUK;YWHAB;SRC;YWHAZ;RELA;CREB1;MYC;AKT1;EP300;TP53;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	13/168	2.416173e-10	4.129460e-09	0	0	1.271097e+01	2.814674e+02	RB1;GSK3B;CSNK1A1;AXIN1;PTEN;APC;MYC;DVL1;DVL2;AKT1;DVL3;TP53;MAPK3
KEGG_2019_Human	Gastric cancer	12/149	7.692835e-10	1.205211e-08	0	0	1.318549e+01	2.767049e+02	RB1;GSK3B;APC;CSNK1A1;MYC;DVL1;AXIN1;DVL2;AKT1;DVL3;TP53;MAPK3
