Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	31/158	8.060471e-37	1.378341e-34	0	0	4.544763e+01	3.777092e+03	GSK3B;CTBP1;LRP6;FRAT1;ZNRF3;MYC;DVL1;DVL2;RSPO2;DVL3;RSPO3;RSPO1;RAC1;BTRC;RNF43;SMAD3;FZD5;CSNK2A1;FBXW11;FZD4;CSNK1A1;FZD7;FZD6;AXIN1;CSNK1E;AXIN2;APC;CSNK2B;CTNNB1;TP53;LGR5
KEGG_2019_Human	Hippo signaling pathway	27/160	3.417393e-30	2.921871e-28	0	0	3.641217e+01	2.470517e+03	GSK3B;YWHAB;PAK1;YWHAQ;PPP2R1A;MYC;DVL1;DVL2;CTNNA1;DVL3;BTRC;YWHAG;SMAD1;TGFB1;SMAD3;FZD5;FBXW11;FZD4;FZD7;FZD6;AXIN1;CSNK1E;AXIN2;YWHAZ;DLG1;APC;CTNNB1
KEGG_2019_Human	Gastric cancer	23/149	7.381917e-25	4.207692e-23	0	0	3.160338e+01	1.756061e+03	GSK3B;MAP2K1;TGFB1;SMAD3;FZD5;JUP;FZD4;CSNK1A1;FZD7;FZD6;AXIN1;AXIN2;LRP6;FRAT1;APC;MYC;DVL1;DVL2;CTNNA1;DVL3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Pathways in cancer	32/530	1.851588e-21	7.915540e-20	0	0	1.185083e+01	5.657379e+02	GSK3B;CTBP1;GLI3;LRP6;CDC42;IKBKB;FRAT1;MYC;DVL1;DVL2;CTNNA1;DVL3;RAC1;MAP2K1;HSP90AA1;TGFB1;SMAD3;FZD5;JUP;FZD4;FZD7;FZD6;AXIN1;TRAF2;AXIN2;NFKB1;NFKBIA;APC;MDM2;CTNNB1;RAF1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	21/168	8.973934e-21	3.069085e-19	0	0	2.428079e+01	1.120800e+03	GSK3B;MAP2K1;TGFB1;SMAD3;FZD5;FZD4;CSNK1A1;FZD7;FZD6;AXIN1;AXIN2;LRP6;FRAT1;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Breast cancer	19/147	3.680217e-19	1.048862e-17	0	0	2.482554e+01	1.053749e+03	GSK3B;MAP2K1;FZD5;FZD4;CSNK1A1;FZD7;FZD6;AXIN1;AXIN2;LRP6;FRAT1;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Human papillomavirus infection	24/330	4.830142e-18	1.179935e-16	0	0	1.357418e+01	5.412250e+02	GSK3B;MAP2K1;FZD5;FZD4;CSNK1A1;FZD7;FZD6;PXN;AXIN1;AXIN2;NFKB1;CDC42;IKBKB;SLC9A3R1;DLG1;APC;PPP2R1A;DVL1;MDM2;DVL2;DVL3;CTNNB1;RAF1;TP53
KEGG_2019_Human	Basal cell carcinoma	14/63	7.127719e-18	1.523550e-16	0	0	4.602555e+01	1.817206e+03	GSK3B;FZD5;FZD4;FZD7;FZD6;AXIN1;AXIN2;GLI3;APC;DVL1;DVL2;DVL3;CTNNB1;TP53
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	17/139	7.858430e-17	1.493102e-15	0	0	2.292329e+01	8.500498e+02	SMAD1;GSK3B;MAP2K1;SMAD3;FZD5;FZD4;FZD7;FZD6;AXIN1;AXIN2;APC;MYC;DVL1;DVL2;DVL3;CTNNB1;RAF1
KEGG_2019_Human	Viral carcinogenesis	17/201	4.029491e-14	6.264028e-13	0	0	1.515140e+01	4.673080e+02	HDAC4;YWHAB;ACTN1;PXN;TRAF2;YWHAZ;NFKB1;NFKBIA;CDC42;DLG1;HNRNPK;YWHAQ;HIST4H4;MDM2;RAC1;TP53;YWHAG
KEGG_2019_Human	Proteoglycans in cancer	17/201	4.029491e-14	6.264028e-13	0	0	1.515140e+01	4.673080e+02	MAP2K1;TGFB1;FZD5;FZD4;FZD7;CAV1;FZD6;PXN;IQGAP1;CDC42;PAK1;MYC;MDM2;CTNNB1;RAC1;RAF1;TP53
KEGG_2019_Human	Hepatitis C	15/155	1.893657e-13	2.698461e-12	0	0	1.732114e+01	5.074243e+02	GSK3B;MAP2K1;YWHAB;TRAF2;YWHAZ;NFKB1;NFKBIA;IKBKB;YWHAQ;PPP2R1A;MYC;CTNNB1;RAF1;TP53;YWHAG
KEGG_2019_Human	Colorectal cancer	12/86	6.493807e-13	8.541854e-12	0	0	2.567222e+01	7.204332e+02	GSK3B;MAP2K1;TGFB1;SMAD3;APC;MYC;AXIN1;CTNNB1;RAC1;AXIN2;RAF1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	11/76	4.064344e-12	4.964306e-11	0	0	2.659072e+01	6.974419e+02	IKBKB;NFKBIA;MAP2K1;TGFB1;SMAD3;CTBP1;MYC;MDM2;RAF1;TP53;NFKB1
KEGG_2019_Human	Endometrial cancer	10/58	6.433350e-12	7.334019e-11	0	0	3.250492e+01	8.376364e+02	GSK3B;MAP2K1;APC;MYC;AXIN1;CTNNA1;CTNNB1;AXIN2;RAF1;TP53
KEGG_2019_Human	mTOR signaling pathway	13/152	3.996699e-11	4.271472e-10	0	0	1.487654e+01	3.561885e+02	GSK3B;MAP2K1;SEC13;FZD5;FZD4;FZD7;FZD6;LRP6;IKBKB;DVL1;DVL2;DVL3;RAF1
KEGG_2019_Human	Cushing syndrome	13/155	5.117627e-11	5.147731e-10	0	0	1.456003e+01	3.450107e+02	GSK3B;MAP2K1;FZD5;FZD4;FZD7;FZD6;AXIN1;AXIN2;APC;DVL1;DVL2;DVL3;CTNNB1
KEGG_2019_Human	Cell cycle	12/124	5.427078e-11	5.155724e-10	0	0	1.692943e+01	4.001615e+02	GSK3B;TGFB1;SMAD3;TFDP1;PCNA;YWHAQ;YWHAB;MYC;MDM2;TP53;YWHAZ;YWHAG
