Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	17/201	8.929275e-13	1.197791e-10	0	0	1.226744e+01	3.403513e+02	RB1;USP7;JUN;TBP;YWHAB;SRC;CHD4;YWHAZ;RELA;KAT2B;HNRNPK;CREB1;PKM;CDK2;EP300;TP53;HRAS
KEGG_2019_Human	Prostate cancer	13/97	1.301946e-12	1.197791e-10	0	0	2.010988e+01	5.503504e+02	RB1;GSK3B;TCF7L2;HSP90AB1;PTEN;RELA;HSP90B1;CREB1;CDK2;EP300;CTNNB1;TP53;HRAS
KEGG_2019_Human	Mitophagy	11/65	5.245370e-12	3.217160e-10	0	0	2.616534e+01	6.796101e+02	MAPK9;MAPK8;JUN;CSNK2A1;UBB;SRC;CSNK2B;HRAS;TP53;HIF1A;RELA
KEGG_2019_Human	Cell cycle	13/124	3.164654e-11	1.079033e-09	0	0	1.519749e+01	3.674204e+02	RB1;GSK3B;CCNH;PRKDC;YWHAB;TTK;YWHAZ;MYC;CDK2;EP300;ATM;TP53;ATR
KEGG_2019_Human	Human papillomavirus infection	19/330	3.471582e-11	1.079033e-09	0	0	8.169757e+00	1.967590e+02	RB1;GSK3B;TCF7L2;TBP;CSNK1A1;PTEN;CHD4;RELA;PPP2CA;CREB1;PKM;TADA3;CDK2;CTNNB1;EP300;ATM;TP53;HRAS;ATR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	3.981278e-11	1.079033e-09	0	0	1.038490e+01	2.486854e+02	RB1;JUN;TBP;PTEN;RELA;KAT2B;MAPK9;MAPK8;CREB1;MYC;CDK2;EP300;ATM;TP53;HRAS;ATR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	4.105016e-11	1.079033e-09	0	0	1.149942e+01	2.750226e+02	RB1;GSK3B;JUN;SRC;HIF1A;RELA;MAPK9;MAPK8;CREB1;UBB;MYC;CTNNB1;EP300;TP53;HRAS
KEGG_2019_Human	Wnt signaling pathway	14/158	5.322302e-11	1.224130e-09	0	0	1.267816e+01	2.999214e+02	GSK3B;TCF7L2;JUN;CSNK2A1;CSNK1A1;CHD8;CSNK1E;MAPK9;MAPK8;MYC;CSNK2B;EP300;CTNNB1;TP53
KEGG_2019_Human	Hepatitis B	14/163	8.095939e-11	1.655170e-09	0	0	1.224961e+01	2.846451e+02	RB1;JUN;YWHAB;SRC;YWHAZ;RELA;MAPK9;MAPK8;CREB1;MYC;CDK2;EP300;TP53;HRAS
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	1.792404e-09	3.298024e-08	0	0	1.217107e+01	2.451217e+02	PIAS4;MAPK9;JUN;MAPK8;HSP90AB1;SRC;SUMO2;CTNNB1;TXN;TP53;RELA;HSP90B1
