Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endometrial cancer	13/58	2.346548e-17	2.666218e-15	0	0	5.208404e+01	1.994350e+03	MAP2K1;MAP2K2;BAD;ARAF;PTEN;BRAF;CCND1;MYC;MAPK1;KRAS;POLK;HRAS;TP53
KEGG_2019_Human	Prostate cancer	15/97	2.866901e-17	2.666218e-15	0	0	3.352812e+01	1.277110e+03	MAP2K1;CREBBP;MAP2K2;HSP90AB1;BAD;ARAF;PTEN;BRAF;HSP90B1;CCND1;EP300;MAPK1;KRAS;TP53;HRAS
KEGG_2019_Human	Colorectal cancer	14/86	1.619528e-16	1.004108e-14	0	0	3.533002e+01	1.284572e+03	MAP2K1;MAP2K2;BAD;ARAF;BRAF;MSH6;CCND1;MYC;RPS6KB2;MAPK1;KRAS;POLK;HRAS;TP53
KEGG_2019_Human	Thyroid cancer	11/37	2.251075e-16	1.046750e-14	0	0	7.498661e+01	2.701764e+03	NTRK1;MAP2K1;MAP2K2;CCND1;MYC;MAPK1;BRAF;KRAS;POLK;HRAS;TP53
KEGG_2019_Human	Pathways in cancer	25/530	1.619127e-15	6.023154e-14	0	0	9.785815e+00	3.332744e+02	HSP90AB1;ARAF;PTEN;STK4;HIF1A;HSP90B1;GNAI2;CCND1;MYC;EP300;MAPK1;POLK;HRAS;NTRK1;CREBBP;MAP2K1;MAP2K2;BAD;BRAF;ESR1;MSH6;RAD51;RPS6KB2;KRAS;TP53
KEGG_2019_Human	Hepatitis B	16/163	4.003656e-15	1.241133e-13	0	0	2.006993e+01	6.653498e+02	MAP2K3;CREBBP;MAP2K1;MAP3K1;MAP2K2;BAD;DDX58;ARAF;BRAF;MYC;EP300;MAPK1;KRAS;TP53;HRAS;MAP2K6
KEGG_2019_Human	Non-small cell lung cancer	12/66	6.290668e-15	1.671520e-13	0	0	3.968569e+01	1.297710e+03	MAP2K1;MAP2K2;CCND1;BAD;ARAF;MAPK1;BRAF;KRAS;POLK;STK4;HRAS;TP53
KEGG_2019_Human	Renal cell carcinoma	12/69	1.109200e-14	2.578891e-13	0	0	3.759128e+01	1.207904e+03	MAP2K1;CREBBP;MAP2K2;BAD;ARAF;EP300;MAPK1;BRAF;KRAS;HRAS;HIF1A;PAK4
KEGG_2019_Human	Breast cancer	15/147	1.696680e-14	3.506471e-13	0	0	2.077546e+01	6.587384e+02	MAP2K1;MAP2K2;ARAF;PTEN;BRAF;BRCA1;ESR1;CCND1;MYC;RPS6KB2;MAPK1;KRAS;POLK;TP53;HRAS
KEGG_2019_Human	Melanoma	12/72	1.903588e-14	3.540673e-13	0	0	3.570631e+01	1.128050e+03	MAP2K1;MAP2K2;CCND1;BAD;ARAF;PTEN;MAPK1;BRAF;KRAS;POLK;HRAS;TP53
KEGG_2019_Human	Chronic myeloid leukemia	12/76	3.765589e-14	6.367268e-13	0	0	3.346791e+01	1.034503e+03	MAP2K1;MAP2K2;CCND1;BAD;MYC;ARAF;MAPK1;BRAF;KRAS;POLK;HRAS;TP53
KEGG_2019_Human	Bladder cancer	10/41	5.089398e-14	7.888566e-13	0	0	5.665430e+01	1.734133e+03	MAP2K1;MAP2K2;CCND1;MYC;ARAF;MAPK1;BRAF;KRAS;HRAS;TP53
KEGG_2019_Human	Acute myeloid leukemia	11/66	2.436018e-13	3.485379e-12	0	0	3.539643e+01	1.028027e+03	MAP2K1;MAP2K2;CCND1;BAD;MYC;RPS6KB2;ARAF;MAPK1;BRAF;KRAS;HRAS
